local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
全国,1641640,1633865,7775,15232,16568,2022-02-01,2034226,2024085,10141
北海道,46579,46506,73,300,367,2022-02-01,58440,58355,85
青森県,13355,13335,20,101,123,2022-02-01,15993,15970,23
岩手県,6564,6540,24,71,70,2022-02-01,8031,8004,27
宮城県,8849,8788,61,69,85,2022-02-01,11295,11213,82
秋田県,6475,6459,16,56,69,2022-02-01,8006,7985,21
山形県,4876,4842,34,53,46,2022-02-01,5774,5738,36
福島県,5394,5371,23,70,49,2022-02-01,6461,6437,24
茨城県,19330,19230,100,224,206,2022-02-01,23445,23331,114
栃木県,9871,9816,55,112,98,2022-02-01,11769,11706,63
群馬県,6304,6269,35,66,58,2022-02-01,7327,7285,42
埼玉県,45825,45694,131,499,493,2022-02-01,57467,57285,182
千葉県,42968,42777,191,459,467,2022-02-01,53521,53266,255
東京都,223794,222864,930,1841,2103,2022-02-01,270106,268741,1365
神奈川県,28392,28285,107,326,303,2022-02-01,35727,35588,139
新潟県,7210,7154,56,85,79,2022-02-01,8966,8879,87
富山県,1409,1379,30,17,19,2022-02-01,1602,1565,37
石川県,2596,2576,20,28,37,2022-02-01,2962,2939,23
福井県,1400,1374,26,16,10,2022-02-01,1615,1584,31
山梨県,3466,3415,51,31,30,2022-02-01,4222,4160,62
長野県,4873,4841,32,61,57,2022-02-01,5896,5858,38
岐阜県,4652,4603,49,68,61,2022-02-01,5617,5563,54
静岡県,13062,12957,105,154,150,2022-02-01,15709,15577,132
愛知県,15353,15252,101,209,208,2022-02-01,19052,18916,136
三重県,12749,12647,102,124,133,2022-02-01,15782,15646,136
滋賀県,5227,5184,43,58,63,2022-02-01,6899,6840,59
京都府,9848,9795,53,74,82,2022-02-01,13176,13090,86
大阪府,40509,40400,109,392,418,2022-02-01,51844,51696,148
兵庫県,14114,14037,77,152,144,2022-02-01,17984,17887,97
奈良県,8794,8753,41,55,89,2022-02-01,11255,11183,72
和歌山県,4783,4757,26,40,58,2022-02-01,5666,5635,31
鳥取県,3154,3143,11,32,30,2022-02-01,3783,3770,13
島根県,2305,2298,7,22,31,2022-02-01,2768,2761,7
岡山県,3382,3363,19,37,55,2022-02-01,4045,4023,22
広島県,5676,5640,36,50,71,2022-02-01,7238,7184,54
山口県,8241,8201,40,92,78,2022-02-01,9968,9917,51
徳島県,10332,10278,54,70,89,2022-02-01,12680,12619,61
香川県,3230,3196,34,44,39,2022-02-01,3942,3892,50
愛媛県,7345,7246,99,67,79,2022-02-01,8687,8561,126
高知県,5560,5503,57,47,61,2022-02-01,6707,6633,74
福岡県,36821,36656,165,287,309,2022-02-01,48818,48586,232
佐賀県,6355,6283,72,64,78,2022-02-01,7459,7378,81
長崎県,7646,7606,40,65,75,2022-02-01,9612,9563,49
熊本県,7460,7391,69,79,83,2022-02-01,9161,9081,80
大分県,8783,8682,101,83,102,2022-02-01,10562,10450,112
宮崎県,7290,7266,24,56,97,2022-02-01,8823,8793,30
鹿児島県,11479,11334,145,85,112,2022-02-01,14410,14217,193
沖縄県,20682,20593,89,231,193,2022-02-01,25739,25620,119
札幌市,56231,56108,123,539,539,2022-02-01,71282,71133,149
仙台市,14587,14491,96,164,156,2022-02-01,18661,18528,133
さいたま市,15594,15548,46,187,179,2022-02-01,19405,19350,55
千葉市,17715,17533,182,244,268,2022-02-01,21569,21337,232
横浜市,55130,55020,110,618,566,2022-02-01,68926,68786,140
川崎市,23514,23475,39,229,281,2022-02-01,29118,29062,56
相模原市,10862,10815,47,115,109,2022-02-01,13980,13926,54
新潟市,9336,9307,29,92,87,2022-02-01,11775,11731,44
静岡市,7637,7562,75,97,91,2022-02-01,9481,9370,111
浜松市,5780,5721,59,72,76,2022-02-01,7124,7045,79
名古屋市,38417,38178,239,455,529,2022-02-01,46770,46467,303
京都市,31948,31511,437,247,308,2022-02-01,41261,40688,573
大阪市,111622,111092,530,1054,1302,2022-02-01,132388,131757,631
堺市,19290,19256,34,189,234,2022-02-01,24576,24529,47
神戸市,33576,33394,182,264,336,2022-02-01,43232,43017,215
岡山市,9855,9804,51,99,109,2022-02-01,12622,12558,64
広島市,18419,18342,77,171,203,2022-02-01,23499,23395,104
北九州市,18137,18068,69,117,188,2022-02-01,22273,22199,74
福岡市,33826,33709,117,358,343,2022-02-01,42433,42281,152
熊本市,12018,11978,40,126,140,2022-02-01,14904,14855,49
旭川市,9786,9767,19,60,69,2022-02-01,11920,11899,21
函館市,9350,9340,10,79,80,2022-02-01,11314,11304,10
青森市,6723,6723,0,34,46,2022-02-01,8172,8172,0
八戸市,3357,3345,12,27,29,2022-02-01,4069,4055,14
盛岡市,3881,3867,14,43,32,2022-02-01,4564,4546,18
秋田市,4335,4334,1,36,35,2022-02-01,5320,5319,1
山形市,1779,1767,12,17,12,2022-02-01,2140,2126,14
郡山市,2800,2796,4,30,37,2022-02-01,3348,3341,7
いわき市,3386,3384,2,38,46,2022-02-01,4270,4268,2
福島市,2627,2624,3,26,26,2022-02-01,3167,3164,3
水戸市,4133,4093,40,39,41,2022-02-01,5227,5172,55
宇都宮市,6715,6673,42,50,57,2022-02-01,8235,8180,55
前橋市,3443,3408,35,27,35,2022-02-01,4144,4100,44
高崎市,2923,2905,18,25,28,2022-02-01,3428,3401,27
川越市,3436,3433,3,23,37,2022-02-01,4294,4291,3
越谷市,3467,3443,24,29,26,2022-02-01,4413,4377,36
川口市,9308,9285,23,94,80,2022-02-01,11687,11655,32
船橋市,7440,7409,31,74,60,2022-02-01,9269,9233,36
柏市,3923,3912,11,36,38,2022-02-01,4901,4888,13
八王子市,7828,7821,7,75,59,2022-02-01,9752,9744,8
横須賀市,4280,4242,38,38,43,2022-02-01,5455,5396,59
富山市,2131,2129,2,25,20,2022-02-01,2494,2491,3
金沢市,3588,3569,19,33,28,2022-02-01,4086,4064,22
福井市,2126,2110,16,27,11,2022-02-01,2612,2586,26
甲府市,2360,2348,12,17,18,2022-02-01,2798,2786,12
長野市,2657,2627,30,27,17,2022-02-01,3261,3225,36
松本市,1579,1569,10,25,21,2022-02-01,1859,1847,12
岐阜市,5000,4979,21,25,48,2022-02-01,5921,5898,23
豊橋市,1884,1869,15,32,21,2022-02-01,2278,2263,15
豊田市,1805,1794,11,13,18,2022-02-01,2354,2340,14
岡崎市,1772,1759,13,25,12,2022-02-01,2210,2188,22
一宮市,2788,2758,30,26,20,2022-02-01,3446,3407,39
大津市,3140,3122,18,40,22,2022-02-01,3999,3975,24
高槻市,4339,4335,4,34,27,2022-02-01,5773,5766,7
東大阪市,13541,13505,36,91,115,2022-02-01,17012,16961,51
豊中市,7500,7474,26,40,58,2022-02-01,9479,9446,33
枚方市,5847,5821,26,54,66,2022-02-01,7586,7550,36
八尾市,6095,6091,4,51,59,2022-02-01,7832,7825,7
寝屋川市,5698,5662,36,37,47,2022-02-01,7294,7239,55
吹田市,4355,4349,6,48,44,2022-02-01,5591,5584,7
姫路市,6661,6641,20,60,74,2022-02-01,8186,8163,23
西宮市,5984,5929,55,36,39,2022-02-01,7758,7664,94
尼崎市,13555,13541,14,99,106,2022-02-01,17160,17141,19
明石市,3910,3894,16,31,33,2022-02-01,5071,5052,19
奈良市,5449,5402,47,36,50,2022-02-01,7071,7001,70
和歌山市,7381,7360,21,56,74,2022-02-01,8787,8765,22
鳥取市,2149,2128,21,19,24,2022-02-01,2784,2755,29
松江市,2090,2082,8,19,21,2022-02-01,2669,2660,9
倉敷市,5298,5284,14,39,49,2022-02-01,6958,6934,24
福山市,4727,4709,18,26,37,2022-02-01,5970,5949,21
呉市,2647,2623,24,16,32,2022-02-01,3269,3236,33
下関市,3079,3067,12,19,30,2022-02-01,3720,3705,15
高松市,5062,5017,45,49,48,2022-02-01,6272,6217,55
松山市,9411,9402,9,53,57,2022-02-01,11217,11207,10
高知市,8617,8571,46,47,80,2022-02-01,10724,10664,60
久留米市,5309,5301,8,46,40,2022-02-01,6630,6616,14
長崎市,9269,9200,69,53,59,2022-02-01,11914,11829,85
佐世保市,3966,3955,11,34,35,2022-02-01,4950,4939,11
大分市,6989,6911,78,43,49,2022-02-01,8320,8225,95
宮崎市,6755,6745,10,55,61,2022-02-01,8331,8321,10
鹿児島市,11795,11629,166,85,88,2022-02-01,14879,14680,199
那覇市,10556,10542,14,82,93,2022-02-01,13322,13306,16
