local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
全国,1642821,1635363,7458,17751,21011,2022-03-01,2036045,2026359,9686
北海道,46583,46515,68,371,500,2022-03-01,58488,58411,77
青森県,13337,13318,19,105,137,2022-03-01,15977,15956,21
岩手県,6584,6558,26,90,86,2022-03-01,8062,8032,30
宮城県,8870,8807,63,106,108,2022-03-01,11337,11252,85
秋田県,6458,6444,14,52,88,2022-03-01,7984,7967,17
山形県,4886,4853,33,57,82,2022-03-01,5797,5754,43
福島県,5409,5387,22,64,85,2022-03-01,6478,6456,22
茨城県,19369,19273,96,245,279,2022-03-01,23496,23388,108
栃木県,9880,9825,55,107,153,2022-03-01,11785,11724,61
群馬県,6332,6299,33,86,93,2022-03-01,7366,7328,38
埼玉県,45887,45742,145,556,618,2022-03-01,57525,57330,195
千葉県,43086,42903,183,585,588,2022-03-01,53665,53432,233
東京都,223983,223110,873,2292,2909,2022-03-01,270331,269042,1289
神奈川県,28471,28361,110,384,401,2022-03-01,35833,35699,134
新潟県,7213,7164,49,82,94,2022-03-01,8982,8903,79
富山県,1411,1388,23,21,21,2022-03-01,1600,1571,29
石川県,2591,2571,20,32,32,2022-03-01,2957,2933,24
福井県,1407,1385,22,17,24,2022-03-01,1630,1604,26
山梨県,3479,3427,52,43,44,2022-03-01,4231,4168,63
長野県,4879,4851,28,63,80,2022-03-01,5904,5871,33
岐阜県,4645,4608,37,54,78,2022-03-01,5607,5566,41
静岡県,13081,12971,110,169,182,2022-03-01,15753,15617,136
愛知県,15357,15261,96,212,271,2022-03-01,19087,18968,119
三重県,12772,12662,110,156,188,2022-03-01,15816,15674,142
滋賀県,5243,5210,33,79,81,2022-03-01,6920,6877,43
京都府,9867,9812,55,101,126,2022-03-01,13204,13110,94
大阪府,40528,40417,111,437,531,2022-03-01,51885,51727,158
兵庫県,14131,14051,80,161,177,2022-03-01,18032,17929,103
奈良県,8772,8730,42,66,87,2022-03-01,11228,11155,73
和歌山県,4785,4764,21,60,72,2022-03-01,5677,5651,26
鳥取県,3153,3139,14,29,41,2022-03-01,3787,3770,17
島根県,2303,2297,6,29,43,2022-03-01,2771,2765,6
岡山県,3368,3348,20,41,56,2022-03-01,4044,4022,22
広島県,5669,5639,30,64,69,2022-03-01,7230,7184,46
山口県,8238,8202,36,75,114,2022-03-01,9976,9934,42
徳島県,10309,10253,56,66,119,2022-03-01,12657,12594,63
香川県,3230,3196,34,39,43,2022-03-01,3960,3913,47
愛媛県,7334,7236,98,68,113,2022-03-01,8651,8514,137
高知県,5569,5518,51,70,98,2022-03-01,6729,6670,59
福岡県,36856,36695,161,345,407,2022-03-01,48882,48657,225
佐賀県,6356,6290,66,79,91,2022-03-01,7474,7399,75
長崎県,7642,7606,36,71,81,2022-03-01,9595,9553,42
熊本県,7464,7412,52,86,131,2022-03-01,9177,9116,61
大分県,8761,8667,94,80,98,2022-03-01,10547,10437,110
宮崎県,7267,7244,23,74,104,2022-03-01,8795,8769,26
鹿児島県,11477,11341,136,110,188,2022-03-01,14384,14204,180
沖縄県,20762,20665,97,273,247,2022-03-01,25824,25688,136
札幌市,56340,56230,110,648,641,2022-03-01,71420,71293,127
仙台市,14593,14510,83,162,161,2022-03-01,18673,18554,119
さいたま市,15601,15553,48,186,213,2022-03-01,19395,19340,55
千葉市,17714,17541,173,267,258,2022-03-01,21594,21364,230
横浜市,55259,55158,101,695,711,2022-03-01,69098,68965,133
川崎市,23502,23462,40,269,303,2022-03-01,29085,29020,65
相模原市,10922,10876,46,169,142,2022-03-01,14071,14014,57
新潟市,9341,9317,24,92,109,2022-03-01,11800,11764,36
静岡市,7629,7571,58,83,93,2022-03-01,9477,9392,85
浜松市,5788,5729,59,84,99,2022-03-01,7128,7052,76
名古屋市,38428,38210,218,540,623,2022-03-01,46790,46516,274
京都市,31897,31491,406,257,368,2022-03-01,41208,40675,533
大阪市,111630,111088,542,1310,1616,2022-03-01,132417,131780,637
堺市,19271,19236,35,215,256,2022-03-01,24580,24532,48
神戸市,33520,33369,151,280,364,2022-03-01,43160,42986,174
岡山市,9878,9834,44,132,133,2022-03-01,12657,12600,57
広島市,18422,18348,74,206,204,2022-03-01,23483,23387,96
北九州市,18113,18040,73,164,209,2022-03-01,22268,22190,78
福岡市,33829,33721,108,345,424,2022-03-01,42435,42294,141
熊本市,12028,11983,45,150,181,2022-03-01,14904,14850,54
旭川市,9787,9768,19,70,77,2022-03-01,11926,11905,21
函館市,9351,9339,12,81,106,2022-03-01,11302,11290,12
青森市,6711,6711,0,34,72,2022-03-01,8158,8158,0
八戸市,3340,3328,12,12,40,2022-03-01,4046,4032,14
盛岡市,3894,3877,17,45,52,2022-03-01,4579,4559,20
秋田市,4340,4339,1,40,52,2022-03-01,5324,5323,1
山形市,1783,1771,12,16,21,2022-03-01,2146,2132,14
郡山市,2810,2807,3,47,28,2022-03-01,3369,3363,6
いわき市,3384,3380,4,44,54,2022-03-01,4263,4259,4
福島市,2646,2643,3,45,31,2022-03-01,3188,3185,3
水戸市,4131,4093,38,39,50,2022-03-01,5227,5181,46
宇都宮市,6721,6689,32,63,91,2022-03-01,8244,8205,39
前橋市,3450,3416,34,42,41,2022-03-01,4149,4106,43
高崎市,2914,2900,14,19,25,2022-03-01,3408,3382,26
川越市,3423,3420,3,24,40,2022-03-01,4264,4260,4
越谷市,3477,3450,27,36,45,2022-03-01,4423,4381,42
川口市,9322,9295,27,94,95,2022-03-01,11718,11683,35
船橋市,7469,7437,32,89,84,2022-03-01,9312,9275,37
柏市,3936,3923,13,51,36,2022-03-01,4919,4903,16
八王子市,7856,7850,6,87,83,2022-03-01,9785,9779,6
横須賀市,4291,4258,33,54,56,2022-03-01,5459,5412,47
富山市,2150,2144,6,39,41,2022-03-01,2527,2520,7
金沢市,3600,3583,17,40,35,2022-03-01,4101,4081,20
福井市,2140,2122,18,25,23,2022-03-01,2624,2597,27
甲府市,2363,2352,11,21,25,2022-03-01,2801,2789,12
長野市,2668,2638,30,28,44,2022-03-01,3274,3239,35
松本市,1574,1560,14,16,15,2022-03-01,1851,1835,16
岐阜市,4979,4959,20,27,55,2022-03-01,5894,5874,20
豊橋市,1886,1875,11,23,23,2022-03-01,2283,2272,11
豊田市,1813,1803,10,26,27,2022-03-01,2369,2353,16
岡崎市,1788,1775,13,28,30,2022-03-01,2226,2204,22
一宮市,2812,2784,28,44,42,2022-03-01,3472,3439,33
大津市,3139,3122,17,21,39,2022-03-01,3993,3973,20
高槻市,4339,4335,4,27,50,2022-03-01,5771,5765,6
東大阪市,13510,13477,33,84,168,2022-03-01,16956,16909,47
豊中市,7513,7495,18,71,98,2022-03-01,9497,9475,22
枚方市,5836,5803,33,55,78,2022-03-01,7572,7533,39
八尾市,6099,6096,3,63,72,2022-03-01,7848,7845,3
寝屋川市,5703,5667,36,52,73,2022-03-01,7295,7240,55
吹田市,4364,4359,5,53,48,2022-03-01,5608,5601,7
姫路市,6646,6626,20,59,70,2022-03-01,8163,8142,21
西宮市,5994,5938,56,49,59,2022-03-01,7785,7690,95
尼崎市,13577,13562,15,128,149,2022-03-01,17193,17170,23
明石市,3917,3906,11,40,46,2022-03-01,5087,5075,12
奈良市,5438,5396,42,39,44,2022-03-01,7050,6987,63
和歌山市,7399,7378,21,92,85,2022-03-01,8820,8797,23
鳥取市,2148,2126,22,23,26,2022-03-01,2783,2752,31
松江市,2094,2083,11,25,29,2022-03-01,2671,2659,12
倉敷市,5310,5294,16,61,61,2022-03-01,6971,6945,26
福山市,4732,4712,20,42,51,2022-03-01,5979,5955,24
呉市,2633,2610,23,18,29,2022-03-01,3256,3224,32
下関市,3078,3066,12,29,35,2022-03-01,3723,3705,18
高松市,5063,5021,42,49,56,2022-03-01,6268,6218,50
松山市,9434,9426,8,80,95,2022-03-01,11242,11233,9
高知市,8600,8557,43,63,93,2022-03-01,10697,10640,57
久留米市,5332,5324,8,63,75,2022-03-01,6664,6652,12
長崎市,9272,9207,65,62,66,2022-03-01,11925,11844,81
佐世保市,3961,3949,12,30,43,2022-03-01,4943,4931,12
大分市,6991,6919,72,51,94,2022-03-01,8329,8242,87
宮崎市,6746,6736,10,52,59,2022-03-01,8308,8298,10
鹿児島市,11817,11656,161,110,121,2022-03-01,14924,14725,199
那覇市,10568,10546,22,105,94,2022-03-01,13330,13306,24
