都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,383678,150527,233151,47772608772,21383540504,26389068268,2017-11-01
北　海　道,19066,6536,12530,2199884828,883209844,1316674984,2017-11-01
青　　　森,5017,1937,3080,565868466,255152757,310715709,2017-11-01
岩　　　手,4039,1640,2399,467009146,214449801,252559345,2017-11-01
宮　　　城,7474,2885,4589,904166200,402190122,501976078,2017-11-01
秋　　　田,3320,1383,1937,371072586,176444062,194628524,2017-11-01
山　　　形,3074,1199,1875,356286239,160917750,195368489,2017-11-01
福　　　島,6159,2664,3495,756404154,373254396,383149758,2017-11-01
茨　　　城,7401,2999,4402,952328656,447971014,504357642,2017-11-01
栃　　　木,5390,2327,3063,673890880,331082142,342808738,2017-11-01
群　　　馬,4922,2008,2914,608347081,283512263,324834818,2017-11-01
埼　　　玉,19321,8315,11006,2598055399,1272960863,1325094536,2017-11-01
千　　　葉,15875,6594,9281,2136759614,996662928,1140096686,2017-11-01
東　　　京,36908,15019,21889,5206027550,2325708205,2880319345,2017-11-01
神　奈　川,24055,10341,13714,3275388769,1582872461,1692516308,2017-11-01
新　　　潟,6549,2617,3932,758210662,342110108,416100554,2017-11-01
富　　　山,2791,1009,1782,339971726,139143584,200828142,2017-11-01
石　　　川,3437,1226,2211,407969816,165460259,242509557,2017-11-01
福　　　井,2083,765,1318,239544179,101016312,138527867,2017-11-01
山　　　梨,2106,830,1276,259770575,116571136,143199439,2017-11-01
長　　　野,5963,2296,3667,691869376,301600027,390269349,2017-11-01
岐　　　阜,5768,2229,3539,695950740,306625854,389324886,2017-11-01
静　　　岡,10849,4334,6515,1327029844,599393447,727636397,2017-11-01
愛　　　知,20064,7818,12246,2605048398,1136591926,1468456472,2017-11-01
三　　　重,5785,2285,3500,707820586,321628682,386191904,2017-11-01
滋　　　賀,4458,1708,2750,551891276,243452890,308438386,2017-11-01
京　　　都,8237,3112,5125,1038513973,451277343,587236630,2017-11-01
大　　　阪,28356,10872,17484,3554754586,1544380430,2010374156,2017-11-01
兵　　　庫,18292,6947,11345,2285824340,999951025,1285873315,2017-11-01
奈　　　良,4051,1616,2435,487064560,225645537,261419023,2017-11-01
和　歌　山,3069,1200,1869,352210467,160919280,191291187,2017-11-01
鳥　　　取,1935,823,1112,217618710,105404844,112213866,2017-11-01
島　　　根,2194,881,1313,252735143,114504338,138230805,2017-11-01
岡　　　山,6139,2428,3711,728730811,324025727,404705084,2017-11-01
広　　　島,9356,3413,5943,1119163670,474092795,645070875,2017-11-01
山　　　口,4011,1485,2526,470463982,205429461,265034521,2017-11-01
徳　　　島,2351,985,1366,281225039,133854515,147370524,2017-11-01
香　　　川,3141,1232,1909,355192244,162345999,192846245,2017-11-01
愛　　　媛,4302,1681,2621,497032438,228295015,268737423,2017-11-01
高　　　知,2772,1136,1636,314848517,145994118,168854399,2017-11-01
福　　　岡,19403,6872,12531,2345464229,967929844,1377534385,2017-11-01
佐　　　賀,3014,1074,1940,330977044,135069178,195907866,2017-11-01
長　　　崎,4995,1792,3203,556876949,230714967,326161982,2017-11-01
熊　　　本,6702,2583,4119,753618487,337495404,416123083,2017-11-01
大　　　分,4415,1687,2728,475296716,210265822,265030894,2017-11-01
宮　　　崎,4229,1613,2616,480769721,213411547,267358174,2017-11-01
鹿　児　島,6167,2256,3911,675569044,289172015,386397029,2017-11-01
沖　　　縄,4673,1875,2798,542091356,243378467,298712889,2017-11-01
