都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,326102,135219,190883,37299089163,17552062227,19747026936,2018-04-01
北　海　道,16889,6630,10259,1763004230,798841703,964162527,2018-04-01
青　　　森,4485,1889,2596,444506642,221485330,223021312,2018-04-01
岩　　　手,3679,1546,2133,352976588,168951944,184024644,2018-04-01
宮　　　城,6105,2553,3552,683756796,325041347,358715449,2018-04-01
秋　　　田,3055,1336,1719,292511806,150171893,142339913,2018-04-01
山　　　形,2893,1182,1711,289661335,133630392,156030943,2018-04-01
福　　　島,5448,2462,2986,609616069,310251348,299364721,2018-04-01
茨　　　城,5845,2548,3297,667559954,332044415,335515539,2018-04-01
栃　　　木,4651,2079,2572,546247182,275500547,270746635,2018-04-01
群　　　馬,4068,1831,2237,462332173,235450818,226881355,2018-04-01
埼　　　玉,16121,7204,8917,1893215015,945446697,947768318,2018-04-01
千　　　葉,13330,5825,7505,1714063951,838685515,875378436,2018-04-01
東　　　京,30849,13124,17725,4167010456,1940525696,2226484760,2018-04-01
神　奈　川,20519,9216,11303,2764403240,1379282360,1385120880,2018-04-01
新　　　潟,5732,2349,3383,613545352,288716552,324828800,2018-04-01
富　　　山,2269,904,1365,235386432,109265101,126121331,2018-04-01
石　　　川,2933,1188,1745,320239961,145925772,174314189,2018-04-01
福　　　井,1902,746,1156,191938915,87679077,104259838,2018-04-01
山　　　梨,1852,804,1048,206905092,102163326,104741766,2018-04-01
長　　　野,5548,2231,3317,569122099,264000856,305121243,2018-04-01
岐　　　阜,4748,1931,2817,504521692,234433174,270088518,2018-04-01
静　　　岡,9238,3908,5330,1016223610,479376386,536847224,2018-04-01
愛　　　知,17061,6992,10069,2037989189,931320741,1106668448,2018-04-01
三　　　重,4846,1999,2847,527304837,246917914,280386923,2018-04-01
滋　　　賀,3699,1460,2239,393784297,176407717,217376580,2018-04-01
京　　　都,6853,2751,4102,803394470,363941463,439453007,2018-04-01
大　　　阪,23813,9851,13962,2875757839,1344140460,1531617379,2018-04-01
兵　　　庫,15634,6287,9347,1761334182,810013303,951320879,2018-04-01
奈　　　良,3239,1394,1845,365343480,180102512,185240968,2018-04-01
和　歌　山,2750,1136,1614,283815604,137209642,146605962,2018-04-01
鳥　　　取,1641,711,930,157147638,77888469,79259169,2018-04-01
島　　　根,1901,782,1119,179553095,85790233,93762862,2018-04-01
岡　　　山,5230,2139,3091,535889776,245906640,289983136,2018-04-01
広　　　島,7842,2964,4878,828983730,359489441,469494289,2018-04-01
山　　　口,3433,1337,2096,386084119,176048676,210035443,2018-04-01
徳　　　島,2037,870,1167,211003299,105024138,105979161,2018-04-01
香　　　川,2851,1186,1665,292948176,139133739,153814437,2018-04-01
愛　　　媛,3684,1553,2131,387754489,189085333,198669156,2018-04-01
高　　　知,2602,1076,1526,254191926,120720023,133471903,2018-04-01
福　　　岡,16461,6240,10221,1864114865,812107885,1052006980,2018-04-01
佐　　　賀,2600,937,1663,250984972,105374194,145610778,2018-04-01
長　　　崎,4350,1582,2768,427290045,181470729,245819316,2018-04-01
熊　　　本,4799,1928,2871,464003176,217934372,246068804,2018-04-01
大　　　分,3811,1416,2395,364541996,159238827,205303169,2018-04-01
宮　　　崎,3581,1445,2136,361048867,171174387,189874480,2018-04-01
鹿　児　島,5432,2048,3384,541082572,237396149,303686423,2018-04-01
沖　　　縄,3793,1649,2144,434993934,211354991,223638943,2018-04-01
