都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,396505,155017,241488,46492133717,20659171020,25832962697,2018-09-01
北　海　道,19489,6658,12831,2131436572,847320454,1284116118,2018-09-01
青　　　森,5100,1959,3141,530899360,240274720,290624640,2018-09-01
岩　　　手,4157,1734,2423,449210259,215439648,233770611,2018-09-01
宮　　　城,7690,3013,4677,865923980,387331975,478592005,2018-09-01
秋　　　田,3452,1399,2053,370337239,169031994,201305245,2018-09-01
山　　　形,3391,1308,2083,371892977,160239201,211653776,2018-09-01
福　　　島,5995,2586,3409,696399217,339862633,356536584,2018-09-01
茨　　　城,7300,2989,4311,881849188,408647004,473202184,2018-09-01
栃　　　木,5415,2306,3109,632570745,304218639,328352106,2018-09-01
群　　　馬,4910,2137,2773,575809310,282821465,292987845,2018-09-01
埼　　　玉,19665,8352,11313,2457186842,1177159347,1280027495,2018-09-01
千　　　葉,15922,6615,9307,2007869443,940226138,1067643305,2018-09-01
東　　　京,37327,15219,22108,4947400332,2213255192,2734145140,2018-09-01
神　奈　川,24523,10649,13874,3182647552,1562297199,1620350353,2018-09-01
新　　　潟,6708,2637,4071,763576533,341459574,422116959,2018-09-01
富　　　山,2785,1093,1692,318359089,139401129,178957960,2018-09-01
石　　　川,3423,1220,2203,385628851,158843421,226785430,2018-09-01
福　　　井,2197,766,1431,241052036,95643382,145408654,2018-09-01
山　　　梨,2171,884,1287,257841591,119568837,138272754,2018-09-01
長　　　野,6323,2479,3844,715268883,320397509,394871374,2018-09-01
岐　　　阜,5892,2254,3638,669144255,292805789,376338466,2018-09-01
静　　　岡,10607,4239,6368,1233432795,555000240,678432555,2018-09-01
愛　　　知,21124,8256,12868,2553326610,1125416569,1427910041,2018-09-01
三　　　重,6223,2391,3832,704348933,306591815,397757118,2018-09-01
滋　　　賀,4565,1748,2817,529867263,231405631,298461632,2018-09-01
京　　　都,8732,3179,5553,1030035486,430287482,599748004,2018-09-01
大　　　阪,28196,10823,17373,3343945964,1445077973,1898867991,2018-09-01
兵　　　庫,19625,7393,12232,2295091575,993049608,1302041967,2018-09-01
奈　　　良,3937,1630,2307,457659237,217000740,240658497,2018-09-01
和　歌　山,3025,1178,1847,324994476,145990719,179003757,2018-09-01
鳥　　　取,2179,888,1291,231663976,104260052,127403924,2018-09-01
島　　　根,2294,926,1368,246828066,109119299,137708767,2018-09-01
岡　　　山,7711,3038,4673,865479421,383619084,481860337,2018-09-01
広　　　島,11201,4083,7118,1268987248,524983386,744003862,2018-09-01
山　　　口,4225,1466,2759,465954504,189476657,276477847,2018-09-01
徳　　　島,2380,999,1381,270220395,125530713,144689682,2018-09-01
香　　　川,3224,1222,2002,351250161,152842900,198407261,2018-09-01
愛　　　媛,4905,1874,3031,538301654,236874613,301427041,2018-09-01
高　　　知,2953,1202,1751,328117296,147506048,180611248,2018-09-01
福　　　岡,20508,7320,13188,2304882003,945013407,1359868596,2018-09-01
佐　　　賀,3163,1087,2076,340642815,133523529,207119286,2018-09-01
長　　　崎,5238,1828,3410,549605534,226358349,323247185,2018-09-01
熊　　　本,6595,2470,4125,699414953,305021523,394393430,2018-09-01
大　　　分,4524,1648,2876,473931283,199116259,274815024,2018-09-01
宮　　　崎,4331,1574,2757,454237129,191740237,262496892,2018-09-01
鹿　児　島,6520,2384,4136,669522155,285239669,384282486,2018-09-01
沖　　　縄,4685,1914,2771,508088531,232879268,275209263,2018-09-01
