都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,385714,156924,228790,47028108850,21763908398,25264200452,2019-11-01
北　海　道,17603,6113,11490,1971123651,801695542,1169428109,2019-11-01
青　　　森,4795,1843,2952,504099285,225317606,278781679,2019-11-01
岩　　　手,4115,1658,2457,458759491,210542378,248217113,2019-11-01
宮　　　城,7986,3288,4698,967243287,452851384,514391903,2019-11-01
秋　　　田,3294,1277,2017,355432009,158221589,197210420,2019-11-01
山　　　形,3297,1334,1963,373121865,170681244,202440621,2019-11-01
福　　　島,6039,2557,3482,724536117,349751796,374784321,2019-11-01
茨　　　城,7603,3240,4363,952759085,462427136,490331949,2019-11-01
栃　　　木,5901,2553,3348,745815878,364523273,381292605,2019-11-01
群　　　馬,5757,2513,3244,710565438,350888938,359676500,2019-11-01
埼　　　玉,21075,9451,11624,2757100420,1393936380,1363164040,2019-11-01
千　　　葉,16103,7206,8897,2115198750,1062474955,1052723795,2019-11-01
東　　　京,37931,16058,21873,5251124263,2425633241,2825491022,2019-11-01
神　奈　川,25023,11364,13659,3535608514,1805744687,1729863827,2019-11-01
新　　　潟,6518,2580,3938,734954561,332762344,402192217,2019-11-01
富　　　山,2775,1120,1655,331025681,151113535,179912146,2019-11-01
石　　　川,3586,1477,2109,424639304,200779902,223859402,2019-11-01
福　　　井,2218,834,1384,249337403,105936747,143400656,2019-11-01
山　　　梨,2491,1088,1403,319786831,162655111,157131720,2019-11-01
長　　　野,7213,2984,4229,870342601,404045059,466297542,2019-11-01
岐　　　阜,5584,2261,3323,630750893,289741386,341009507,2019-11-01
静　　　岡,10897,4605,6292,1325510795,627834185,697676610,2019-11-01
愛　　　知,20052,8238,11814,2535375656,1170164500,1365211156,2019-11-01
三　　　重,5792,2352,3440,658789772,302788992,356000780,2019-11-01
滋　　　賀,4214,1711,2503,488610757,226458307,262152450,2019-11-01
京　　　都,8075,3135,4940,963885185,423886958,539998227,2019-11-01
大　　　阪,27491,10574,16917,3428583232,1499187570,1929395662,2019-11-01
兵　　　庫,17325,7004,10321,2068075952,957782942,1110293010,2019-11-01
奈　　　良,3701,1561,2140,451227477,220409450,230818027,2019-11-01
和　歌　山,2965,1104,1861,324375059,140377290,183997769,2019-11-01
鳥　　　取,1997,825,1172,224909841,104198879,120710962,2019-11-01
島　　　根,2072,832,1240,222873334,100193387,122679947,2019-11-01
岡　　　山,6381,2483,3898,684186729,297203730,386982999,2019-11-01
広　　　島,9551,3678,5873,1067690942,472195093,595495849,2019-11-01
山　　　口,3886,1430,2456,446487513,189200231,257287282,2019-11-01
徳　　　島,2223,954,1269,252249836,120021154,132228682,2019-11-01
香　　　川,2980,1144,1836,342110253,149896124,192214129,2019-11-01
愛　　　媛,4503,1762,2741,484243861,226401583,257842278,2019-11-01
高　　　知,2725,1089,1636,300278008,133857023,166420985,2019-11-01
福　　　岡,19170,7152,12018,2197532143,949968286,1247563857,2019-11-01
佐　　　賀,2890,1069,1821,323423576,137612851,185810725,2019-11-01
長　　　崎,5053,1846,3207,545252858,229948773,315304085,2019-11-01
熊　　　本,6365,2569,3796,712312444,331524242,380788202,2019-11-01
大　　　分,4290,1610,2680,470671124,206149705,264521419,2019-11-01
宮　　　崎,4098,1500,2598,434550993,186135737,248415256,2019-11-01
鹿　児　島,5811,2173,3638,616619331,265127905,351491426,2019-11-01
沖　　　縄,4300,1725,2575,474956852,213659268,261297584,2019-11-01
