都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,386234,159360,226874,44670296105,21015417268,23654878837,2019-12-01
北　海　道,17360,6066,11294,1796045524,735095669,1060949855,2019-12-01
青　　　森,4629,1777,2852,451858434,203112202,248746232,2019-12-01
岩　　　手,4097,1661,2436,423993242,199478941,224514301,2019-12-01
宮　　　城,8326,3512,4814,966138234,462031352,504106882,2019-12-01
秋　　　田,3209,1260,1949,334663012,152723174,181939838,2019-12-01
山　　　形,3227,1319,1908,338436378,158188301,180248077,2019-12-01
福　　　島,6343,2753,3590,714714346,358252178,356462168,2019-12-01
茨　　　城,7738,3336,4402,894133286,435566815,458566471,2019-12-01
栃　　　木,5970,2586,3384,677807162,331383261,346423901,2019-12-01
群　　　馬,6079,2825,3254,706263108,361370374,344892734,2019-12-01
埼　　　玉,21639,9901,11738,2620077162,1335027198,1285049964,2019-12-01
千　　　葉,16449,7442,9007,2161660864,1110919996,1050740868,2019-12-01
東　　　京,38768,16565,22203,5059324061,2374570101,2684753960,2019-12-01
神　奈　川,25577,11713,13864,3333096685,1718600104,1614496581,2019-12-01
新　　　潟,6382,2519,3863,667536153,300042960,367493193,2019-12-01
富　　　山,2656,1097,1559,288457853,135423675,153034178,2019-12-01
石　　　川,3535,1529,2006,405881369,205049321,200832048,2019-12-01
福　　　井,2203,816,1387,254021647,108216915,145804732,2019-12-01
山　　　梨,2493,1094,1399,285919623,141489911,144429712,2019-12-01
長　　　野,7212,3027,4185,790408370,376838189,413570181,2019-12-01
岐　　　阜,5567,2288,3279,605750707,284770812,320979895,2019-12-01
静　　　岡,10675,4548,6127,1196561574,573528030,623033544,2019-12-01
愛　　　知,19867,8304,11563,2279456651,1064844698,1214611953,2019-12-01
三　　　重,5606,2314,3292,636192658,297311980,338880678,2019-12-01
滋　　　賀,4280,1781,2499,474448031,227257834,247190197,2019-12-01
京　　　都,8057,3180,4877,946114103,424960368,521153735,2019-12-01
大　　　阪,27220,10676,16544,3170583720,1411729143,1758854577,2019-12-01
兵　　　庫,17054,6902,10152,1910909608,887563770,1023345838,2019-12-01
奈　　　良,3671,1593,2078,423708611,212270034,211438577,2019-12-01
和　歌　山,2971,1161,1810,314659658,144298137,170361521,2019-12-01
鳥　　　取,1932,799,1133,206000529,97350015,108650514,2019-12-01
島　　　根,2009,773,1236,208077374,89563732,118513642,2019-12-01
岡　　　山,6375,2502,3873,702811914,312916123,389895791,2019-12-01
広　　　島,9551,3670,5881,1031059914,461082130,569977784,2019-12-01
山　　　口,3953,1485,2468,444696886,198559310,246137576,2019-12-01
徳　　　島,2169,931,1238,243071803,115255056,127816747,2019-12-01
香　　　川,2886,1138,1748,314107086,145442107,168664979,2019-12-01
愛　　　媛,4291,1670,2621,469390563,216457771,252932792,2019-12-01
高　　　知,2737,1114,1623,298032213,135461441,162570772,2019-12-01
福　　　岡,19283,7310,11973,2224007309,987402729,1236604580,2019-12-01
佐　　　賀,2769,1024,1745,289297142,123806805,165490337,2019-12-01
長　　　崎,4856,1778,3078,496594339,213376880,283217459,2019-12-01
熊　　　本,6222,2535,3687,648474594,302347755,346126839,2019-12-01
大　　　分,4167,1590,2577,438496041,197993027,240503014,2019-12-01
宮　　　崎,3935,1498,2437,410383676,182092091,228291585,2019-12-01
鹿　児　島,5846,2209,3637,601703517,266402050,335301467,2019-12-01
沖　　　縄,4393,1789,2604,515269371,237992803,277276568,2019-12-01
