都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,351197,154179,197018,45316111520,22510567569,22805543951,2020-04-01
北　海　道,16836,6891,9945,1980448624,936389175,1044059449,2020-04-01
青　　　森,4312,1858,2454,479436113,239872189,239563924,2020-04-01
岩　　　手,3613,1570,2043,384568050,189825707,194742343,2020-04-01
宮　　　城,7200,3180,4020,924579191,466714710,457864481,2020-04-01
秋　　　田,3065,1375,1690,340511266,174967095,165544171,2020-04-01
山　　　形,3229,1399,1830,386995675,188793582,198202093,2020-04-01
福　　　島,6166,2840,3326,771784398,404992185,366792213,2020-04-01
茨　　　城,7063,3366,3697,926017193,496460188,429557005,2020-04-01
栃　　　木,5867,2725,3142,761917827,407560316,354357511,2020-04-01
群　　　馬,5583,2786,2797,729594074,409180164,320413910,2020-04-01
埼　　　玉,19345,9498,9847,2538099881,1391275681,1146824200,2020-04-01
千　　　葉,15358,7213,8145,2208885725,1156792279,1052093446,2020-04-01
東　　　京,35641,16182,19459,5324684869,2639772029,2684912840,2020-04-01
神　奈　川,22671,10764,11907,3259846884,1719778689,1540068195,2020-04-01
新　　　潟,6251,2601,3650,743046383,352811450,390234933,2020-04-01
富　　　山,2495,1083,1412,309521110,149930584,159590526,2020-04-01
石　　　川,3070,1355,1715,384367565,192028712,192338853,2020-04-01
福　　　井,2052,829,1223,239288630,109468866,129819764,2020-04-01
山　　　梨,2304,1020,1284,296711915,148565318,148146597,2020-04-01
長　　　野,6366,2803,3563,737184513,364684264,372500249,2020-04-01
岐　　　阜,4824,2094,2730,589521793,284357735,305164058,2020-04-01
静　　　岡,9882,4461,5421,1244631298,635813708,608817590,2020-04-01
愛　　　知,18879,8280,10599,2576035552,1266796326,1309239226,2020-04-01
三　　　重,5653,2495,3158,703291759,351614044,351677715,2020-04-01
滋　　　賀,4014,1834,2180,499359409,256456917,242902492,2020-04-01
京　　　都,6781,2838,3943,884387366,420229824,464157542,2020-04-01
大　　　阪,24512,10378,14134,3229450481,1541325632,1688124849,2020-04-01
兵　　　庫,15443,6707,8736,1972311644,969410301,1002901343,2020-04-01
奈　　　良,3275,1483,1792,420755842,215000329,205755513,2020-04-01
和　歌　山,2750,1186,1564,329521565,166584059,162937506,2020-04-01
鳥　　　取,1591,734,857,179859801,93098846,86760955,2020-04-01
島　　　根,2110,891,1219,222950022,109756568,113193454,2020-04-01
岡　　　山,4293,1815,2478,492277515,236699081,255578434,2020-04-01
広　　　島,7028,2830,4198,847332022,390881208,456450814,2020-04-01
山　　　口,3601,1362,2239,443578955,195249366,248329589,2020-04-01
徳　　　島,2125,928,1197,274995654,137457624,137538030,2020-04-01
香　　　川,2639,1040,1599,296225147,134358019,161867128,2020-04-01
愛　　　媛,3662,1437,2225,451076868,209727042,241349826,2020-04-01
高　　　知,2535,1047,1488,304433094,142949023,161484071,2020-04-01
福　　　岡,17107,6894,10213,2202216407,1019319642,1182896765,2020-04-01
佐　　　賀,2479,951,1528,273999056,121147859,152851197,2020-04-01
長　　　崎,4579,1794,2785,507765129,226567808,281197321,2020-04-01
熊　　　本,5909,2440,3469,674143192,318717280,355425912,2020-04-01
大　　　分,3888,1512,2376,440634095,204067075,236567020,2020-04-01
宮　　　崎,3593,1456,2137,400466707,191609628,208857079,2020-04-01
鹿　児　島,5382,2094,3288,609528872,275849186,333679686,2020-04-01
沖　　　縄,4176,1860,2316,517872389,255660256,262212133,2020-04-01
