都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,554557,234694,319863,69896727760,33487569405,36409158355,2020-08-01
北　海　道,24354,9190,15164,2873858227,1263830491,1610027736,2020-08-01
青　　　森,6262,2573,3689,670594373,321774224,348820149,2020-08-01
岩　　　手,5104,2261,2843,581363822,287223804,294140018,2020-08-01
宮　　　城,11225,4689,6536,1406756698,672733047,734023651,2020-08-01
秋　　　田,4394,1886,2508,500646369,243638728,257007641,2020-08-01
山　　　形,4574,1892,2682,507837545,235857242,271980303,2020-08-01
福　　　島,8743,3860,4883,1072358377,539202622,533155755,2020-08-01
茨　　　城,10973,4990,5983,1395466777,721880365,673586412,2020-08-01
栃　　　木,8634,3871,4763,1085213776,544581360,540632416,2020-08-01
群　　　馬,8923,3962,4961,1094597818,545473156,549124662,2020-08-01
埼　　　玉,30727,14305,16422,4043835509,2092532453,1951303056,2020-08-01
千　　　葉,23765,10766,12999,3314860797,1676845581,1638015216,2020-08-01
東　　　京,60471,26121,34350,8755880432,4106058316,4649822116,2020-08-01
神　奈　川,35610,16110,19500,5015860441,2533114015,2482746426,2020-08-01
新　　　潟,9319,3621,5698,1089033894,481306887,607727007,2020-08-01
富　　　山,4088,1704,2384,480671220,225115817,255555403,2020-08-01
石　　　川,5091,2108,2983,602316747,291412536,310904211,2020-08-01
福　　　井,2999,1184,1815,330342383,147730698,182611685,2020-08-01
山　　　梨,3702,1708,1994,448058320,232113523,215944797,2020-08-01
長　　　野,10202,4277,5925,1227526716,585085200,642441516,2020-08-01
岐　　　阜,8856,3794,5062,1025402478,493596161,531806317,2020-08-01
静　　　岡,16856,7795,9061,2071717287,1081827988,989889299,2020-08-01
愛　　　知,32625,14174,18451,4182337628,2035695037,2146642591,2020-08-01
三　　　重,8028,3509,4519,964690288,477279712,487410576,2020-08-01
滋　　　賀,6678,2974,3704,793751406,403010880,390740526,2020-08-01
京　　　都,11677,4674,7003,1454628309,659195337,795432972,2020-08-01
大　　　阪,40219,16562,23657,5201531479,2444660025,2756871454,2020-08-01
兵　　　庫,23830,9849,13981,2996514743,1419536816,1576977927,2020-08-01
奈　　　良,5114,2175,2939,641153725,313545709,327608016,2020-08-01
和　歌　山,3780,1550,2230,424327285,201901056,222426229,2020-08-01
鳥　　　取,2359,1004,1355,265563423,128079935,137483488,2020-08-01
島　　　根,2813,1164,1649,311355542,146945352,164410190,2020-08-01
岡　　　山,7369,3019,4350,860416244,393711295,466704949,2020-08-01
広　　　島,12020,4664,7356,1422321345,634960786,787360559,2020-08-01
山　　　口,5421,2081,3340,635221567,285215038,350006529,2020-08-01
徳　　　島,3098,1327,1771,361214901,173766033,187448868,2020-08-01
香　　　川,3834,1557,2277,453014098,214087271,238926827,2020-08-01
愛　　　媛,5540,2193,3347,642629662,297087972,345541690,2020-08-01
高　　　知,3365,1364,2001,385685984,174166261,211519723,2020-08-01
福　　　岡,26542,10323,16219,3233820673,1447296075,1786524598,2020-08-01
佐　　　賀,3687,1404,2283,416580537,185125652,231454885,2020-08-01
長　　　崎,6635,2559,4076,714794077,320918189,393875888,2020-08-01
熊　　　本,8773,3542,5231,992067412,460522685,531544727,2020-08-01
大　　　分,5846,2239,3607,641581818,286773664,354808154,2020-08-01
宮　　　崎,5251,1993,3258,583151858,257501252,325650606,2020-08-01
鹿　児　島,7529,2877,4652,827485414,376927686,450557728,2020-08-01
沖　　　縄,7652,3250,4402,896688336,426725473,469962863,2020-08-01
