都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,491268,207796,283472,60392421653,28691661344,31700760309,2020-11-01
北　海　道,21686,8173,13513,2519632347,1101381233,1418251114,2020-11-01
青　　　森,5390,2205,3185,571749020,267907415,303841605,2020-11-01
岩　　　手,4525,2002,2523,484241752,239321098,244920654,2020-11-01
宮　　　城,9440,4022,5418,1134209030,550771396,583437634,2020-11-01
秋　　　田,3967,1819,2148,439883491,229870828,210012663,2020-11-01
山　　　形,4493,1885,2608,506571372,237013081,269558291,2020-11-01
福　　　島,7114,3106,4008,827383532,407814105,419569427,2020-11-01
茨　　　城,9231,4264,4967,1126700096,583505891,543194205,2020-11-01
栃　　　木,7378,3458,3920,886854062,457338466,429515596,2020-11-01
群　　　馬,7468,3526,3942,881231929,465410594,415821335,2020-11-01
埼　　　玉,27489,13081,14408,3509580224,1837193988,1672386236,2020-11-01
千　　　葉,20963,9478,11485,2803344633,1398291479,1405053154,2020-11-01
東　　　京,53539,22865,30674,7573406803,3498474639,4074932164,2020-11-01
神　奈　川,31614,14259,17355,4274729738,2128339759,2146389979,2020-11-01
新　　　潟,7555,3097,4458,870313484,402972233,467341251,2020-11-01
富　　　山,3577,1475,2102,422789906,194625082,228164824,2020-11-01
石　　　川,4606,1752,2854,535683988,231653801,304030187,2020-11-01
福　　　井,2548,1000,1548,287827662,124800498,163027164,2020-11-01
山　　　梨,3189,1444,1745,378935759,192981676,185954083,2020-11-01
長　　　野,8167,3580,4587,941284389,467948243,473336146,2020-11-01
岐　　　阜,7990,3449,4541,930028823,452886980,477141843,2020-11-01
静　　　岡,14634,6709,7925,1757933007,900622005,857311002,2020-11-01
愛　　　知,29341,12577,16764,3678884328,1753600124,1925284204,2020-11-01
三　　　重,7083,2905,4178,850017641,392760521,457257120,2020-11-01
滋　　　賀,6224,2648,3576,735383864,352542121,382841743,2020-11-01
京　　　都,10576,4183,6393,1316971186,591604272,725366914,2020-11-01
大　　　阪,37466,15236,22230,4726893830,2164070834,2562822996,2020-11-01
兵　　　庫,21359,8654,12705,2605790580,1204315682,1401474898,2020-11-01
奈　　　良,4700,2005,2695,588319610,286975771,301343839,2020-11-01
和　歌　山,3417,1442,1975,385340268,187794667,197545601,2020-11-01
鳥　　　取,2138,954,1184,230653938,117387513,113266425,2020-11-01
島　　　根,2582,1070,1512,278483115,128791476,149691639,2020-11-01
岡　　　山,6733,2766,3967,744318696,343009084,401309612,2020-11-01
広　　　島,10849,4224,6625,1259708025,562519975,697188050,2020-11-01
山　　　口,4664,1771,2893,555408674,246760301,308648373,2020-11-01
徳　　　島,2872,1167,1705,333169688,147085873,186083815,2020-11-01
香　　　川,3425,1470,1955,393190408,194992653,198197755,2020-11-01
愛　　　媛,5050,1963,3087,569532746,254460821,315071925,2020-11-01
高　　　知,2855,1171,1684,323908063,146624891,177283172,2020-11-01
福　　　岡,23188,9101,14087,2754878336,1247759380,1507118956,2020-11-01
佐　　　賀,3272,1258,2014,373273823,164815218,208458605,2020-11-01
長　　　崎,5699,2169,3530,613828310,265989599,347838711,2020-11-01
熊　　　本,8202,3348,4854,896472963,417636040,478836923,2020-11-01
大　　　分,5345,2031,3314,578129282,255558920,322570362,2020-11-01
宮　　　崎,4532,1713,2819,494673277,218603832,276069445,2020-11-01
鹿　児　島,6949,2726,4223,731560904,338288494,393272410,2020-11-01
沖　　　縄,6184,2595,3589,709315051,336588792,372726259,2020-11-01
