都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全国計,436891,192759,244132,51261768350,25357980363,25903787987,2021-02-01
北海道,20429,8261,12168,2273073668,1048419743,1224653925,2021-02-01
青森県,5265,2246,3019,559089684,276663495,282426189,2021-02-01
岩手県,4324,1921,2403,449301766,222904822,226396944,2021-02-01
宮城県,7923,3487,4436,893826557,448495799,445330758,2021-02-01
秋田県,3712,1753,1959,391935881,213034495,178901386,2021-02-01
山形県,3535,1618,1917,384637488,196242214,188395274,2021-02-01
福島県,5880,2671,3209,661934783,339073913,322860870,2021-02-01
茨城県,7736,3775,3961,918012082,503449922,414562160,2021-02-01
栃木県,6174,3022,3152,708062656,387467467,320595189,2021-02-01
群馬県,6138,3037,3101,710561785,393209696,317352089,2021-02-01
埼玉県,23215,11406,11809,2896726585,1565569929,1331156656,2021-02-01
千葉県,18964,9094,9870,2453259600,1289309093,1163950507,2021-02-01
東京都,46779,20783,25996,6223676722,2970011931,3253664791,2021-02-01
神奈川県,29111,13843,15268,3789141264,1977063413,1812077851,2021-02-01
新潟県,6921,3008,3913,750419853,367591309,382828544,2021-02-01
富山県,3113,1366,1747,350121397,174082137,176039260,2021-02-01
石川県,4010,1656,2354,443062731,205282189,237780542,2021-02-01
福井県,2296,972,1324,244516774,116643950,127872824,2021-02-01
山梨県,2668,1224,1444,313219386,165040617,148178769,2021-02-01
長野県,7050,3151,3899,774445537,393452122,380993415,2021-02-01
岐阜県,6463,2948,3515,736084014,377367125,358716889,2021-02-01
静岡県,12506,5859,6647,1436049696,760830788,675218908,2021-02-01
愛知県,25013,11103,13910,2987521901,1487278199,1500243702,2021-02-01
三重県,6301,2787,3514,722926711,363644640,359282071,2021-02-01
滋賀県,5450,2443,3007,610204852,307393911,302810941,2021-02-01
京都府,9534,3893,5641,1136765671,525148571,611617100,2021-02-01
大阪府,33631,14396,19235,4019417467,1915739082,2103678385,2021-02-01
兵庫県,20026,8550,11476,2326026172,1128562050,1197464122,2021-02-01
奈良県,4079,1833,2246,488168207,246965323,241202884,2021-02-01
和歌山県,3349,1397,1952,358257723,173144323,185113400,2021-02-01
鳥取県,2034,974,1060,208782366,113597685,95184681,2021-02-01
島根県,2374,1027,1347,247383777,122344105,125039672,2021-02-01
岡山県,6565,2845,3720,696079288,338197166,357882122,2021-02-01
広島県,9984,4178,5806,1102127610,532691753,569435857,2021-02-01
山口県,4178,1663,2515,463508022,215222923,248285099,2021-02-01
徳島県,2643,1066,1577,285534542,126303828,159230714,2021-02-01
香川県,3160,1368,1792,346691333,170543928,176147405,2021-02-01
愛媛県,4651,1886,2765,497296097,232763596,264532501,2021-02-01
高知県,2605,1091,1514,279689935,128646105,151043830,2021-02-01
福岡県,21108,8601,12507,2388746582,1110038022,1278708560,2021-02-01
佐賀県,2841,1117,1724,298253671,136970943,161282728,2021-02-01
長崎県,5102,2058,3044,515749231,238153080,277596151,2021-02-01
熊本県,6817,2805,4012,714134986,332833654,381301332,2021-02-01
大分県,5052,1989,3063,524127967,240523175,283604792,2021-02-01
宮崎県,4137,1602,2535,425728902,192322012,233406890,2021-02-01
鹿児島県,6423,2595,3828,655193689,301565671,353628018,2021-02-01
沖縄県,5622,2391,3231,602291739,286180449,316111290,2021-02-01
