都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全国計,477573,205762,271811,64203715753,31322348063,32881367690,2021-06-01
北海道,22766,8672,14094,2828416647,1242486534,1585930113,2021-06-01
青森県,5848,2374,3474,678347153,320896439,357450714,2021-06-01
岩手県,4610,1924,2686,552893243,265534350,287358893,2021-06-01
宮城県,8992,3714,5278,1169438967,549210075,620228892,2021-06-01
秋田県,3914,1674,2240,479120318,232629589,246490729,2021-06-01
山形県,4295,1824,2471,537821490,256386301,281435189,2021-06-01
福島県,7143,3166,3977,950456994,479646593,470810401,2021-06-01
茨城県,9025,4148,4877,1233781283,642544002,591237281,2021-06-01
栃木県,6859,3177,3682,913353696,481062909,432290787,2021-06-01
群馬県,6474,3007,3467,851896481,444977907,406918574,2021-06-01
埼玉県,25958,12452,13506,3738795698,2007049163,1731746535,2021-06-01
千葉県,21169,9896,11273,3098751706,1633880463,1464871243,2021-06-01
東京都,50056,22430,27626,7637010618,3712871411,3924139207,2021-06-01
神奈川県,31039,14638,16401,4657148022,2443500483,2213647539,2021-06-01
新潟県,8092,3334,4758,1007334591,472432165,534902426,2021-06-01
富山県,3268,1377,1891,417329197,199303484,218025713,2021-06-01
石川県,4222,1647,2575,561178470,255198099,305980371,2021-06-01
福井県,2517,1031,1486,316519211,146554231,169964980,2021-06-01
山梨県,2721,1192,1529,358129069,178517572,179611497,2021-06-01
長野県,7691,3338,4353,962206773,479968137,482238636,2021-06-01
岐阜県,6750,2952,3798,846720253,413142946,433577307,2021-06-01
静岡県,12877,5793,7084,1668635873,852189098,816446775,2021-06-01
愛知県,26239,11672,14567,3588462564,1817122425,1771340139,2021-06-01
三重県,6834,3044,3790,896485733,454106713,442379020,2021-06-01
滋賀県,5678,2404,3274,727272001,352843780,374428221,2021-06-01
京都府,10158,4220,5938,1352125916,634404908,717721008,2021-06-01
大阪府,35754,15207,20547,4873446829,2334011474,2539435355,2021-06-01
兵庫県,21772,9146,12626,2977475200,1429424863,1548050337,2021-06-01
奈良県,4485,2006,2479,588524512,298969516,289554996,2021-06-01
和歌山県,3487,1430,2057,419856308,199538707,220317601,2021-06-01
鳥取県,2284,956,1328,277215997,126445204,150770793,2021-06-01
島根県,2714,1080,1634,320825614,142641904,178183710,2021-06-01
岡山県,7418,3159,4259,902877228,436449932,466427296,2021-06-01
広島県,10746,4255,6491,1359124806,609154826,749969980,2021-06-01
山口県,4427,1721,2706,569474405,258806185,310668220,2021-06-01
徳島県,2891,1198,1693,361214533,168774941,192439592,2021-06-01
香川県,3604,1506,2098,427613668,201776726,225836942,2021-06-01
愛媛県,5133,2120,3013,638498903,301210507,337288396,2021-06-01
高知県,3088,1295,1793,375469841,175962258,199507583,2021-06-01
福岡県,23296,9214,14082,3085633439,1394867194,1690766245,2021-06-01
佐賀県,3355,1285,2070,405226650,177267685,227958965,2021-06-01
長崎県,5879,2299,3580,705182606,316552786,388629820,2021-06-01
熊本県,8028,3182,4846,1007557421,461854570,545702851,2021-06-01
大分県,5732,2268,3464,671715605,307642472,364073133,2021-06-01
宮崎県,4836,1839,2997,576560472,257620548,318939924,2021-06-01
鹿児島県,7116,2790,4326,855905360,388211599,467693761,2021-06-01
沖縄県,6333,2706,3627,774684389,366704389,407980000,2021-06-01
