都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全国計,490102,208310,281792,64191221672,30683216598,33508005074,2021-08-01
北海道,23309,8650,14659,2876151326,1216214685,1659936641,2021-08-01
青森県,6154,2462,3692,680223521,315789427,364434094,2021-08-01
岩手県,4751,1973,2778,556862499,259571296,297291203,2021-08-01
宮城県,9272,3805,5467,1186010949,556939858,629071091,2021-08-01
秋田県,4022,1689,2333,474315895,222545370,251770525,2021-08-01
山形県,4013,1667,2346,481360226,223666451,257693775,2021-08-01
福島県,7282,3271,4011,937129930,469113284,468016646,2021-08-01
茨城県,9415,4278,5137,1249394005,647820852,601573153,2021-08-01
栃木県,6938,3184,3754,895757473,457571430,438186043,2021-08-01
群馬県,6631,2977,3654,857776599,429372324,428404275,2021-08-01
埼玉県,26301,12512,13789,3585632493,1887890801,1697741692,2021-08-01
千葉県,21501,10027,11474,3071321459,1595375256,1475946203,2021-08-01
東京都,51200,22514,28686,7633834999,3650871976,3982963023,2021-08-01
神奈川県,31635,14578,17057,4584122341,2343499038,2240623303,2021-08-01
新潟県,8319,3428,4891,1015636541,473583863,542052678,2021-08-01
富山県,3323,1321,2002,407420411,183967446,223452965,2021-08-01
石川県,4507,1812,2695,569432764,259323214,310109550,2021-08-01
福井県,2596,1059,1537,311260946,142968863,168292083,2021-08-01
山梨県,2758,1221,1537,348117655,172447815,175669840,2021-08-01
長野県,7743,3361,4382,959108842,471401284,487707558,2021-08-01
岐阜県,6837,2975,3862,842275720,412974539,429301181,2021-08-01
静岡県,13113,5838,7275,1675816240,838923293,836892947,2021-08-01
愛知県,26866,11896,14970,3539285488,1746395592,1792889896,2021-08-01
三重県,6732,3008,3724,860363871,435961680,424402191,2021-08-01
滋賀県,5636,2356,3280,690632760,331205975,359426785,2021-08-01
京都府,10580,4246,6334,1358120525,611896578,746223947,2021-08-01
大阪府,37014,15410,21604,5005938253,2353039960,2652898293,2021-08-01
兵庫県,22329,9336,12993,2937602902,1390770401,1546832501,2021-08-01
奈良県,4756,2097,2659,632873013,320063746,312809267,2021-08-01
和歌山県,3614,1465,2149,433863303,203375737,230487566,2021-08-01
鳥取県,2398,1026,1372,277278137,130694819,146583318,2021-08-01
島根県,2746,1079,1667,313617192,136380463,177236729,2021-08-01
岡山県,7459,3179,4280,901721698,431812366,469909332,2021-08-01
広島県,11211,4303,6908,1379730028,602305563,777424465,2021-08-01
山口県,4682,1777,2905,583724093,254145476,329578617,2021-08-01
徳島県,2878,1239,1639,348900886,164881009,184019877,2021-08-01
香川県,3726,1533,2193,457319591,211824377,245495214,2021-08-01
愛媛県,5465,2199,3266,666806116,303492261,363313855,2021-08-01
高知県,3245,1313,1932,394983110,176272384,218710726,2021-08-01
福岡県,24467,9545,14922,3182495911,1409255479,1773240432,2021-08-01
佐賀県,3621,1336,2285,431940536,183146877,248793659,2021-08-01
長崎県,6146,2389,3757,706155609,312093783,394061826,2021-08-01
熊本県,7953,3125,4828,940769017,420399570,520369447,2021-08-01
大分県,5621,2188,3433,658376571,289828714,368547857,2021-08-01
宮崎県,5054,1912,3142,587229889,253787799,333442090,2021-08-01
鹿児島県,7484,2843,4641,884542080,390154911,494387169,2021-08-01
沖縄県,6799,2908,3891,817988259,388198713,429789546,2021-08-01
