都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,387675,158197,229478,47952370728,22463609902,25488760826,2019-05-01
北　海　道,19417,7001,12416,2211215045,933761773,1277453272,2019-05-01
青　　　森,5044,2004,3040,558445247,262032804,296412443,2019-05-01
岩　　　手,4275,1752,2523,455153948,213347006,241806942,2019-05-01
宮　　　城,7307,2938,4369,843789956,392654245,451135711,2019-05-01
秋　　　田,3388,1354,2034,361983691,166618721,195364970,2019-05-01
山　　　形,3565,1396,2169,404339822,182216173,222123649,2019-05-01
福　　　島,5682,2397,3285,639167233,311008004,328159229,2019-05-01
茨　　　城,7275,3157,4118,912825957,464099128,448726829,2019-05-01
栃　　　木,5508,2457,3051,670680419,341413551,329266868,2019-05-01
群　　　馬,4667,2064,2603,560099114,285919265,274179849,2019-05-01
埼　　　玉,19628,8849,10779,2643804787,1354953855,1288850932,2019-05-01
千　　　葉,15031,6694,8337,1999485392,1006993927,992491465,2019-05-01
東　　　京,37306,15860,21446,5421151998,2547548456,2873603542,2019-05-01
神　奈　川,24185,11343,12842,3345399535,1760130913,1585268622,2019-05-01
新　　　潟,7161,2839,4322,820694481,371154944,449539537,2019-05-01
富　　　山,2811,1122,1689,325963258,148655335,177307923,2019-05-01
石　　　川,3567,1311,2256,411156304,172083053,239073251,2019-05-01
福　　　井,2246,809,1437,238952337,98648329,140304008,2019-05-01
山　　　梨,2185,953,1232,264548358,131265694,133282664,2019-05-01
長　　　野,6688,2690,3998,806038513,371579764,434458749,2019-05-01
岐　　　阜,5483,2261,3222,639238078,303400305,335837773,2019-05-01
静　　　岡,10787,4667,6120,1352247308,658761892,693485416,2019-05-01
愛　　　知,20321,8388,11933,2860953626,1346241524,1514712102,2019-05-01
三　　　重,5764,2432,3332,694866874,340175172,354691702,2019-05-01
滋　　　賀,4635,1849,2786,551156212,252656470,298499742,2019-05-01
京　　　都,8034,3183,4851,1002694994,452050159,550644835,2019-05-01
大　　　阪,26673,10741,15932,3376408938,1538372169,1838036769,2019-05-01
兵　　　庫,17915,7105,10810,2198649449,1004970877,1193678572,2019-05-01
奈　　　良,3642,1527,2115,436903079,213725755,223177324,2019-05-01
和　歌　山,2997,1147,1850,343479864,158702230,184777634,2019-05-01
鳥　　　取,2182,835,1347,232630387,100838460,131791927,2019-05-01
島　　　根,2216,865,1351,233809805,100786263,133023542,2019-05-01
岡　　　山,7096,2801,4295,814170138,364452012,449718126,2019-05-01
広　　　島,10770,4051,6719,1243846266,541604497,702241769,2019-05-01
山　　　口,4021,1414,2607,466288678,192790623,273498055,2019-05-01
徳　　　島,2460,1008,1452,287207358,134888487,152318871,2019-05-01
香　　　川,3321,1313,2008,393562628,180086448,213476180,2019-05-01
愛　　　媛,4548,1735,2813,506961629,226097579,280864050,2019-05-01
高　　　知,3065,1251,1814,364141784,171824827,192316957,2019-05-01
福　　　岡,19881,7319,12562,2263487283,971309994,1292177289,2019-05-01
佐　　　賀,3119,1054,2065,357193468,143329336,213864132,2019-05-01
長　　　崎,5190,1905,3285,542266601,235670991,306595610,2019-05-01
熊　　　本,6651,2652,3999,729853831,339459811,390394020,2019-05-01
大　　　分,4610,1683,2927,500195304,216733082,283462222,2019-05-01
宮　　　崎,4141,1534,2607,443113940,193693220,249420720,2019-05-01
鹿　児　島,6355,2442,3913,685621495,310244700,375376795,2019-05-01
沖　　　縄,4862,2045,2817,536526316,254658079,281868237,2019-05-01
