都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全国計,445510,197968,247542,61158410328,30475138059,30683272269,2021-03-01
北海道,20999,8640,12359,2744130059,1292156335,1451973724,2021-03-01
青森県,5459,2373,3086,672226604,333780573,338446031,2021-03-01
岩手県,4331,1935,2396,533974160,263453649,270520511,2021-03-01
宮城県,7879,3549,4330,1066744668,548058166,518686502,2021-03-01
秋田県,3758,1753,2005,456831407,242654196,214177211,2021-03-01
山形県,3630,1660,1970,447443125,230104680,217338445,2021-03-01
福島県,6056,2788,3268,798368648,409957140,388411508,2021-03-01
茨城県,7874,3800,4074,1082071901,588905847,493166054,2021-03-01
栃木県,6227,3003,3224,826963922,449752411,377211511,2021-03-01
群馬県,6039,2991,3048,801806305,449155606,352650699,2021-03-01
埼玉県,24177,11870,12307,3421614407,1851596897,1570017510,2021-03-01
千葉県,19654,9365,10289,2976564341,1571838036,1404726305,2021-03-01
東京都,47437,21323,26114,7507524930,3642552813,3864972117,2021-03-01
神奈川県,29366,14039,15327,4514170318,2381574528,2132595790,2021-03-01
新潟県,7290,3164,4126,921355503,453640994,467714509,2021-03-01
富山県,3142,1368,1774,410366546,199666783,210699763,2021-03-01
石川県,4000,1682,2318,518971207,248235990,270735217,2021-03-01
福井県,2364,1018,1346,290846527,141970449,148876078,2021-03-01
山梨県,2643,1187,1456,348427535,179727519,168700016,2021-03-01
長野県,7087,3243,3844,905904668,465986175,439918493,2021-03-01
岐阜県,6607,3014,3593,863002513,441564650,421437863,2021-03-01
静岡県,12528,5869,6659,1660566741,868673456,791893285,2021-03-01
愛知県,25406,11414,13992,3498387097,1757115721,1741271376,2021-03-01
三重県,6431,2874,3557,834300553,421036184,413264369,2021-03-01
滋賀県,5411,2384,3027,709566576,356279871,353286705,2021-03-01
京都府,9765,4142,5623,1345113371,640308718,704804653,2021-03-01
大阪府,34622,14967,19655,4899362744,2361261080,2538101664,2021-03-01
兵庫県,20535,8836,11699,2865904021,1385404564,1480499457,2021-03-01
奈良県,4058,1832,2226,557078212,287447601,269630611,2021-03-01
和歌山県,3435,1461,1974,424992173,209203924,215788249,2021-03-01
鳥取県,2100,990,1110,247548810,129469773,118079037,2021-03-01
島根県,2419,1049,1370,293948025,143200670,150747355,2021-03-01
岡山県,6718,2926,3792,836577264,416134847,420442417,2021-03-01
広島県,9955,4158,5797,1286463919,617047396,669416523,2021-03-01
山口県,4246,1718,2528,555395869,260204366,295191503,2021-03-01
徳島県,2655,1045,1610,340182240,143850192,196332048,2021-03-01
香川県,3151,1377,1774,393918656,198798735,195119921,2021-03-01
愛媛県,4754,1964,2790,601895456,287714423,314181033,2021-03-01
高知県,2638,1151,1487,324560568,154132777,170427791,2021-03-01
福岡県,21907,9048,12859,2948434623,1378588120,1569846503,2021-03-01
佐賀県,2898,1160,1738,345785012,161188549,184596463,2021-03-01
長崎県,5140,2083,3057,601351037,281155072,320195965,2021-03-01
熊本県,6951,2896,4055,837724558,396842661,440881897,2021-03-01
大分県,5181,2103,3078,612235293,288258289,323977004,2021-03-01
宮崎県,4297,1691,2606,513750843,228993604,284757239,2021-03-01
鹿児島県,6607,2631,3976,791526917,368266959,423259958,2021-03-01
沖縄県,5683,2434,3249,722530456,348227070,374303386,2021-03-01
