local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
全国,1640648,1632561,8087,16139,16912,2021-08-01,2037800,2027232,10568
北海道,46834,46736,98,324,479,2021-08-01,58797,58681,116
青森県,13443,13416,27,107,137,2021-08-01,16106,16071,35
岩手県,6547,6512,35,65,66,2021-08-01,8031,7987,44
宮城県,8816,8757,59,112,99,2021-08-01,11301,11222,79
秋田県,6550,6531,19,56,57,2021-08-01,8110,8089,21
山形県,4848,4800,48,54,61,2021-08-01,5763,5703,60
福島県,5401,5376,25,55,71,2021-08-01,6522,6493,29
茨城県,19170,19072,98,223,242,2021-08-01,23292,23174,118
栃木県,9809,9751,58,114,84,2021-08-01,11745,11673,72
群馬県,6272,6242,30,68,52,2021-08-01,7331,7295,36
埼玉県,45517,45364,153,516,485,2021-08-01,57263,57068,195
千葉県,42535,42337,198,507,428,2021-08-01,53167,52915,252
東京都,224015,223075,940,2027,2189,2021-08-01,270886,269530,1356
神奈川県,28195,28081,114,331,272,2021-08-01,35607,35465,142
新潟県,7155,7110,45,93,99,2021-08-01,8864,8810,54
富山県,1409,1367,42,21,20,2021-08-01,1599,1548,51
石川県,2609,2580,29,24,24,2021-08-01,2988,2957,31
福井県,1412,1386,26,25,17,2021-08-01,1626,1595,31
山梨県,3457,3395,62,31,37,2021-08-01,4232,4156,76
長野県,4848,4806,42,63,70,2021-08-01,5855,5805,50
岐阜県,4591,4543,48,64,61,2021-08-01,5559,5506,53
静岡県,12917,12801,116,171,150,2021-08-01,15611,15459,152
愛知県,15254,15176,78,175,195,2021-08-01,19044,18944,100
三重県,12740,12646,94,136,145,2021-08-01,15791,15657,134
滋賀県,5256,5209,47,52,64,2021-08-01,7003,6921,82
京都府,9884,9822,62,99,112,2021-08-01,13241,13154,87
大阪府,40421,40314,107,354,374,2021-08-01,51883,51732,151
兵庫県,14027,13927,100,144,121,2021-08-01,17929,17782,147
奈良県,8840,8798,42,68,82,2021-08-01,11362,11296,66
和歌山県,4790,4770,20,45,51,2021-08-01,5693,5666,27
鳥取県,3156,3147,9,42,43,2021-08-01,3799,3785,14
島根県,2334,2324,10,18,38,2021-08-01,2820,2809,11
岡山県,3430,3406,24,38,47,2021-08-01,4116,4086,30
広島県,5680,5639,41,61,60,2021-08-01,7265,7206,59
山口県,8300,8263,37,81,101,2021-08-01,10030,9988,42
徳島県,10366,10319,47,93,97,2021-08-01,12755,12683,72
香川県,3225,3187,38,30,34,2021-08-01,3954,3906,48
愛媛県,7408,7318,90,76,67,2021-08-01,8775,8653,122
高知県,5593,5544,49,56,61,2021-08-01,6785,6715,70
福岡県,37007,36848,159,247,311,2021-08-01,49232,48986,246
佐賀県,6407,6351,56,50,78,2021-08-01,7542,7478,64
長崎県,7657,7597,60,86,81,2021-08-01,9658,9577,81
熊本県,7403,7355,48,78,85,2021-08-01,9153,9083,70
大分県,8813,8708,105,81,103,2021-08-01,10581,10464,117
宮崎県,7287,7262,25,76,84,2021-08-01,8803,8768,35
鹿児島県,11594,11429,165,116,140,2021-08-01,14600,14376,224
沖縄県,20415,20334,81,255,240,2021-08-01,25484,25372,112
札幌市,55988,55719,269,544,645,2021-08-01,71131,70823,308
仙台市,14463,14362,101,151,129,2021-08-01,18527,18390,137
さいたま市,15509,15449,60,150,159,2021-08-01,19420,19354,66
千葉市,17664,17510,154,276,230,2021-08-01,21471,21280,191
横浜市,55004,54917,87,673,641,2021-08-01,68864,68743,121
川崎市,23657,23622,35,268,255,2021-08-01,29384,29333,51
相模原市,10816,10774,42,121,124,2021-08-01,13960,13908,52
新潟市,9309,9279,30,92,92,2021-08-01,11725,11682,43
静岡市,7615,7543,72,87,95,2021-08-01,9466,9380,86
浜松市,5800,5749,51,82,70,2021-08-01,7199,7137,62
名古屋市,38605,38340,265,501,498,2021-08-01,47098,46770,328
京都市,32040,31648,392,259,324,2021-08-01,41458,40953,505
大阪市,111969,111385,584,1173,1315,2021-08-01,133046,132326,720
堺市,19308,19282,26,200,182,2021-08-01,24696,24658,38
神戸市,33692,33515,177,283,283,2021-08-01,43468,43244,224
岡山市,9887,9847,40,133,116,2021-08-01,12755,12706,49
広島市,18406,18333,73,161,196,2021-08-01,23530,23432,98
北九州市,18165,18091,74,157,155,2021-08-01,22330,22252,78
福岡市,33806,33678,128,375,350,2021-08-01,42453,42296,157
熊本市,12006,11976,30,142,146,2021-08-01,14931,14899,32
旭川市,9799,9758,41,57,87,2021-08-01,11980,11927,53
函館市,9321,9304,17,73,68,2021-08-01,11352,11330,22
青森市,6724,6722,2,44,40,2021-08-01,8208,8205,3
八戸市,3378,3360,18,16,33,2021-08-01,4118,4098,20
盛岡市,3864,3836,28,23,45,2021-08-01,4585,4539,46
秋田市,4311,4308,3,33,36,2021-08-01,5304,5301,3
山形市,1790,1774,16,21,19,2021-08-01,2150,2133,17
郡山市,2770,2764,6,28,40,2021-08-01,3321,3315,6
いわき市,3360,3358,2,33,38,2021-08-01,4245,4243,2
福島市,2600,2598,2,25,33,2021-08-01,3134,3132,2
水戸市,4094,4057,37,28,39,2021-08-01,5162,5108,54
宇都宮市,6686,6652,34,63,54,2021-08-01,8237,8192,45
前橋市,3432,3394,38,44,30,2021-08-01,4126,4078,48
高崎市,2923,2901,22,25,38,2021-08-01,3430,3403,27
川越市,3483,3478,5,31,48,2021-08-01,4387,4382,5
越谷市,3445,3420,25,33,32,2021-08-01,4398,4363,35
川口市,9224,9201,23,80,86,2021-08-01,11670,11642,28
船橋市,7336,7302,34,84,63,2021-08-01,9171,9114,57
柏市,3903,3894,9,45,44,2021-08-01,4910,4900,10
八王子市,7667,7655,12,69,66,2021-08-01,9538,9526,12
横須賀市,4231,4209,22,53,43,2021-08-01,5376,5351,25
富山市,2077,2075,2,21,29,2021-08-01,2419,2417,2
金沢市,3533,3510,23,29,24,2021-08-01,4038,4014,24
福井市,2089,2073,16,22,25,2021-08-01,2572,2554,18
甲府市,2369,2353,16,21,38,2021-08-01,2819,2797,22
長野市,2657,2621,36,24,26,2021-08-01,3256,3206,50
松本市,1574,1563,11,27,23,2021-08-01,1851,1835,16
岐阜市,5083,5049,34,26,32,2021-08-01,6021,5981,40
豊橋市,1820,1814,6,31,23,2021-08-01,2197,2191,6
豊田市,1816,1797,19,16,33,2021-08-01,2398,2371,27
岡崎市,1780,1760,20,24,23,2021-08-01,2232,2205,27
一宮市,2761,2732,29,34,23,2021-08-01,3444,3409,35
大津市,3096,3072,24,30,29,2021-08-01,3913,3883,30
高槻市,4323,4312,11,47,39,2021-08-01,5761,5745,16
東大阪市,13714,13669,45,110,156,2021-08-01,17299,17236,63
豊中市,7542,7503,39,53,66,2021-08-01,9562,9505,57
枚方市,5795,5762,33,53,36,2021-08-01,7537,7490,47
八尾市,6054,6052,2,71,66,2021-08-01,7800,7798,2
寝屋川市,5619,5589,30,55,48,2021-08-01,7229,7189,40
吹田市,4358,4355,3,20,39,2021-08-01,5598,5591,7
姫路市,6618,6599,19,50,46,2021-08-01,8132,8104,28
西宮市,5984,5931,53,39,42,2021-08-01,7770,7684,86
尼崎市,13567,13558,9,103,117,2021-08-01,17226,17215,11
明石市,3882,3870,12,39,23,2021-08-01,5040,5025,15
奈良市,5462,5418,44,39,33,2021-08-01,7119,7055,64
和歌山市,7448,7423,25,66,79,2021-08-01,8875,8839,36
鳥取市,2160,2136,24,22,19,2021-08-01,2798,2764,34
松江市,2083,2070,13,20,25,2021-08-01,2656,2634,22
倉敷市,5295,5288,7,38,43,2021-08-01,6961,6954,7
福山市,4758,4752,6,43,32,2021-08-01,6051,6045,6
呉市,2709,2685,24,16,26,2021-08-01,3353,3320,33
下関市,3105,3084,21,17,31,2021-08-01,3781,3759,22
高松市,5038,4993,45,43,35,2021-08-01,6242,6187,55
松山市,9458,9448,10,75,81,2021-08-01,11292,11278,14
高知市,8708,8650,58,52,67,2021-08-01,10875,10805,70
久留米市,5289,5277,12,52,43,2021-08-01,6615,6597,18
長崎市,9299,9243,56,51,55,2021-08-01,11958,11892,66
佐世保市,3976,3958,18,32,43,2021-08-01,4973,4952,21
大分市,6981,6915,66,56,48,2021-08-01,8321,8242,79
宮崎市,6825,6807,18,48,84,2021-08-01,8421,8398,23
鹿児島市,11786,11646,140,90,77,2021-08-01,14875,14694,181
那覇市,10470,10454,16,90,84,2021-08-01,13253,13235,18
