local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
全国,1643782,1636040,7742,18447,16548,2021-11-01,2039439,2029358,10081
北海道,46759,46680,79,446,440,2021-11-01,58708,58612,96
青森県,13396,13368,28,119,120,2021-11-01,16051,16013,38
岩手県,6564,6531,33,86,75,2021-11-01,8031,7992,39
宮城県,8844,8793,51,95,88,2021-11-01,11315,11251,64
秋田県,6519,6509,10,72,62,2021-11-01,8069,8055,14
山形県,4867,4831,36,60,62,2021-11-01,5778,5736,42
福島県,5402,5377,25,73,64,2021-11-01,6499,6472,27
茨城県,19254,19144,110,226,186,2021-11-01,23394,23258,136
栃木県,9904,9842,62,115,108,2021-11-01,11828,11755,73
群馬県,6316,6289,27,64,63,2021-11-01,7362,7331,31
埼玉県,45717,45566,151,511,471,2021-11-01,57414,57219,195
千葉県,42847,42653,194,560,406,2021-11-01,53512,53252,260
東京都,224383,223442,941,2356,2241,2021-11-01,271109,269771,1338
神奈川県,28290,28176,114,357,286,2021-11-01,35685,35540,145
新潟県,7174,7128,46,97,75,2021-11-01,8914,8837,77
富山県,1414,1374,40,25,21,2021-11-01,1608,1556,52
石川県,2596,2578,18,32,36,2021-11-01,2963,2940,23
福井県,1409,1388,21,26,27,2021-11-01,1626,1602,24
山梨県,3480,3428,52,46,47,2021-11-01,4246,4187,59
長野県,4877,4841,36,77,73,2021-11-01,5892,5849,43
岐阜県,4623,4571,52,72,58,2021-11-01,5590,5532,58
静岡県,13032,12930,102,179,162,2021-11-01,15700,15556,144
愛知県,15328,15234,94,207,187,2021-11-01,19073,18956,117
三重県,12745,12659,86,156,151,2021-11-01,15780,15667,113
滋賀県,5275,5241,34,91,65,2021-11-01,6985,6935,50
京都府,9873,9817,56,92,95,2021-11-01,13227,13156,71
大阪府,40567,40467,100,475,401,2021-11-01,52026,51894,132
兵庫県,14107,14024,83,178,135,2021-11-01,18004,17886,118
奈良県,8855,8808,47,85,71,2021-11-01,11368,11289,79
和歌山県,4798,4777,21,57,43,2021-11-01,5707,5676,31
鳥取県,3160,3144,16,33,30,2021-11-01,3808,3788,20
島根県,2318,2310,8,16,20,2021-11-01,2793,2784,9
岡山県,3394,3372,22,32,45,2021-11-01,4075,4044,31
広島県,5687,5651,36,55,78,2021-11-01,7267,7219,48
山口県,8287,8245,42,95,89,2021-11-01,10012,9963,49
徳島県,10352,10309,43,106,90,2021-11-01,12715,12657,58
香川県,3237,3211,26,44,42,2021-11-01,3949,3916,33
愛媛県,7398,7306,92,85,65,2021-11-01,8775,8649,126
高知県,5573,5532,41,49,60,2021-11-01,6744,6685,59
福岡県,36926,36772,154,314,317,2021-11-01,49020,48784,236
佐賀県,6354,6294,60,61,57,2021-11-01,7467,7397,70
長崎県,7656,7613,43,79,80,2021-11-01,9651,9600,51
熊本県,7467,7400,67,114,96,2021-11-01,9179,9092,87
大分県,8775,8676,99,84,80,2021-11-01,10542,10429,113
宮崎県,7306,7282,24,90,65,2021-11-01,8834,8798,36
鹿児島県,11580,11425,155,149,116,2021-11-01,14600,14400,200
沖縄県,20562,20485,77,254,197,2021-11-01,25658,25535,123
札幌市,56194,56047,147,760,632,2021-11-01,71280,71100,180
仙台市,14547,14458,89,163,166,2021-11-01,18613,18490,123
さいたま市,15561,15514,47,205,154,2021-11-01,19441,19391,50
千葉市,17723,17535,188,276,249,2021-11-01,21593,21353,240
横浜市,55195,55104,91,749,653,2021-11-01,69042,68915,127
川崎市,23643,23604,39,280,272,2021-11-01,29318,29262,56
相模原市,10870,10832,38,141,104,2021-11-01,13995,13949,46
新潟市,9296,9267,29,104,104,2021-11-01,11715,11677,38
静岡市,7603,7527,76,99,68,2021-11-01,9445,9336,109
浜松市,5804,5749,55,80,78,2021-11-01,7168,7101,67
名古屋市,38580,38305,275,535,532,2021-11-01,47023,46687,336
京都市,32059,31686,373,306,222,2021-11-01,41448,40969,479
大阪市,111992,111463,529,1304,1286,2021-11-01,132950,132310,640
堺市,19333,19303,30,221,209,2021-11-01,24644,24603,41
神戸市,33651,33481,170,298,312,2021-11-01,43403,43207,196
岡山市,9862,9815,47,104,106,2021-11-01,12655,12594,61
広島市,18441,18371,70,188,167,2021-11-01,23547,23460,87
北九州市,18168,18097,71,153,138,2021-11-01,22340,22262,78
福岡市,33934,33805,129,362,390,2021-11-01,42543,42387,156
熊本市,12069,12039,30,182,172,2021-11-01,14970,14933,37
旭川市,9801,9773,28,88,76,2021-11-01,11965,11929,36
函館市,9345,9340,5,91,78,2021-11-01,11336,11330,6
青森市,6724,6723,1,64,50,2021-11-01,8189,8187,2
八戸市,3369,3357,12,26,29,2021-11-01,4095,4083,12
盛岡市,3856,3834,22,52,28,2021-11-01,4562,4532,30
秋田市,4318,4310,8,46,24,2021-11-01,5314,5305,9
山形市,1788,1771,17,26,23,2021-11-01,2145,2127,18
郡山市,2790,2788,2,29,25,2021-11-01,3359,3357,2
いわき市,3396,3394,2,63,47,2021-11-01,4277,4275,2
福島市,2617,2614,3,40,18,2021-11-01,3166,3163,3
水戸市,4107,4065,42,47,28,2021-11-01,5181,5118,63
宇都宮市,6731,6691,40,68,44,2021-11-01,8281,8227,54
前橋市,3470,3431,39,52,22,2021-11-01,4176,4127,49
高崎市,2939,2928,11,34,29,2021-11-01,3453,3441,12
川越市,3467,3463,4,31,35,2021-11-01,4343,4337,6
越谷市,3446,3421,25,39,36,2021-11-01,4398,4363,35
川口市,9258,9234,24,107,62,2021-11-01,11672,11644,28
船橋市,7417,7388,29,88,62,2021-11-01,9248,9206,42
柏市,3949,3937,12,52,33,2021-11-01,4951,4936,15
八王子市,7749,7740,9,99,46,2021-11-01,9675,9666,9
横須賀市,4266,4239,27,52,38,2021-11-01,5440,5399,41
富山市,2112,2108,4,39,16,2021-11-01,2472,2468,4
金沢市,3566,3541,25,48,34,2021-11-01,4065,4038,27
福井市,2108,2089,19,25,21,2021-11-01,2598,2572,26
甲府市,2361,2354,7,18,21,2021-11-01,2802,2795,7
長野市,2657,2626,31,21,29,2021-11-01,3253,3214,39
松本市,1573,1556,17,23,30,2021-11-01,1854,1829,25
岐阜市,5062,5036,26,27,42,2021-11-01,5988,5960,28
豊橋市,1846,1834,12,27,14,2021-11-01,2233,2221,12
豊田市,1800,1787,13,25,15,2021-11-01,2365,2349,16
岡崎市,1772,1755,17,24,22,2021-11-01,2218,2195,23
一宮市,2793,2770,23,35,38,2021-11-01,3464,3436,28
大津市,3134,3107,27,45,35,2021-11-01,3968,3936,32
高槻市,4338,4332,6,54,35,2021-11-01,5785,5779,6
東大阪市,13656,13610,46,104,133,2021-11-01,17192,17123,69
豊中市,7561,7525,36,77,67,2021-11-01,9560,9510,50
枚方市,5835,5813,22,55,58,2021-11-01,7585,7556,29
八尾市,6064,6058,6,55,52,2021-11-01,7814,7808,6
寝屋川市,5686,5654,32,58,39,2021-11-01,7290,7249,41
吹田市,4341,4336,5,43,41,2021-11-01,5569,5562,7
姫路市,6656,6640,16,60,40,2021-11-01,8187,8164,23
西宮市,5990,5940,50,42,43,2021-11-01,7755,7667,88
尼崎市,13588,13575,13,121,117,2021-11-01,17225,17210,15
明石市,3914,3898,16,53,34,2021-11-01,5082,5061,21
奈良市,5451,5399,52,31,41,2021-11-01,7098,7028,70
和歌山市,7405,7384,21,53,69,2021-11-01,8819,8790,29
鳥取市,2131,2112,19,13,10,2021-11-01,2769,2745,24
松江市,2087,2073,14,25,17,2021-11-01,2661,2644,17
倉敷市,5295,5280,15,51,40,2021-11-01,6951,6928,23
福山市,4766,4753,13,49,48,2021-11-01,6040,6026,14
呉市,2687,2663,24,22,32,2021-11-01,3325,3293,32
下関市,3101,3084,17,31,25,2021-11-01,3764,3745,19
高松市,5068,5006,62,56,33,2021-11-01,6264,6186,78
松山市,9442,9433,9,72,72,2021-11-01,11257,11245,12
高知市,8678,8624,54,63,72,2021-11-01,10807,10736,71
久留米市,5297,5284,13,59,39,2021-11-01,6613,6590,23
長崎市,9309,9247,62,57,61,2021-11-01,11966,11899,67
佐世保市,3975,3965,10,47,40,2021-11-01,4962,4950,12
大分市,6982,6916,66,53,55,2021-11-01,8303,8225,78
宮崎市,6803,6785,18,85,79,2021-11-01,8395,8377,18
鹿児島市,11794,11644,150,97,80,2021-11-01,14911,14717,194
那覇市,10523,10508,15,105,66,2021-11-01,13298,13279,19
