都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,404533,158611,245922,51689263168,23016943388,28672319780,2018-10-01
北　海　道,19668,6831,12837,2316190096,932382627,1383807469,2018-10-01
青　　　森,5086,1959,3127,573220921,259315402,313905519,2018-10-01
岩　　　手,4311,1778,2533,487146115,230876881,256269234,2018-10-01
宮　　　城,7947,3112,4835,988468389,443516461,544951928,2018-10-01
秋　　　田,3421,1366,2055,377939554,169776395,208163159,2018-10-01
山　　　形,3443,1361,2082,418115653,186945692,231169961,2018-10-01
福　　　島,5978,2528,3450,744305897,362769949,381535948,2018-10-01
茨　　　城,7511,3093,4418,979094318,460960245,518134073,2018-10-01
栃　　　木,5447,2322,3125,688924735,333207896,355716839,2018-10-01
群　　　馬,4949,2144,2805,631305823,301113123,330192700,2018-10-01
埼　　　玉,20160,8547,11613,2690025062,1288163129,1401861933,2018-10-01
千　　　葉,16392,6831,9561,2296451748,1072571717,1223880031,2018-10-01
東　　　京,38513,15886,22627,5702762713,2562707418,3140055295,2018-10-01
神　奈　川,25103,10862,14241,3658418953,1778363600,1880055353,2018-10-01
新　　　潟,6754,2592,4162,802652026,352303451,450348575,2018-10-01
富　　　山,2803,1097,1706,343679297,149403145,194276152,2018-10-01
石　　　川,3388,1227,2161,404627848,166088269,238539579,2018-10-01
福　　　井,2234,799,1435,262062140,106750965,155311175,2018-10-01
山　　　梨,2307,903,1404,277082933,127192871,149890062,2018-10-01
長　　　野,6420,2540,3880,761911795,339815159,422096636,2018-10-01
岐　　　阜,6111,2364,3747,749400991,327865969,421535022,2018-10-01
静　　　岡,10886,4361,6525,1358906215,610426979,748479236,2018-10-01
愛　　　知,21339,8364,12975,2802724338,1235623473,1567100865,2018-10-01
三　　　重,6375,2425,3950,795638100,345234243,450403857,2018-10-01
滋　　　賀,4631,1747,2884,575754505,251954649,323799856,2018-10-01
京　　　都,8916,3295,5621,1157884918,484879095,673005823,2018-10-01
大　　　阪,28730,11055,17675,3763294345,1645880956,2117413389,2018-10-01
兵　　　庫,19933,7588,12345,2542986375,1113618311,1429368064,2018-10-01
奈　　　良,3973,1641,2332,494480058,230278147,264201911,2018-10-01
和　歌　山,3090,1194,1896,351418160,158947127,192471033,2018-10-01
鳥　　　取,2234,919,1315,243671520,113831798,129839722,2018-10-01
島　　　根,2302,945,1357,261254347,118986359,142267988,2018-10-01
岡　　　山,8187,3190,4997,956871134,424231799,532639335,2018-10-01
広　　　島,11834,4372,7462,1462403068,617132937,845270131,2018-10-01
山　　　口,4307,1480,2827,523579670,210980017,312599653,2018-10-01
徳　　　島,2471,1037,1434,297213471,139533246,157680225,2018-10-01
香　　　川,3214,1243,1971,371794393,160341482,211452911,2018-10-01
愛　　　媛,4919,1871,3048,586883341,262300292,324583049,2018-10-01
高　　　知,2926,1156,1770,338406073,151302417,187103656,2018-10-01
福　　　岡,20842,7502,13340,2610650733,1073006485,1537644248,2018-10-01
佐　　　賀,3168,1118,2050,366354696,146452333,219902363,2018-10-01
長　　　崎,5236,1833,3403,582681751,236829687,345852064,2018-10-01
熊　　　本,6809,2556,4253,764512838,328388887,436123951,2018-10-01
大　　　分,4576,1644,2932,514250539,216661549,297588990,2018-10-01
宮　　　崎,4371,1613,2758,494046003,210120757,283925246,2018-10-01
鹿　児　島,6603,2390,4213,744903577,313711315,431192262,2018-10-01
沖　　　縄,4715,1930,2785,572911993,264198684,308713309,2018-10-01
