都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,376271,167770,208501,44751082714,22343647031,22407435683,2022-02-01
北　海　道,18077,7276,10801,2028835797,928586996,1100248801,2022-02-01
青　　　森,4642,2028,2614,495610568,248593827,247016741,2022-02-01
岩　　　手,3493,1493,2000,367969555,180947794,187021761,2022-02-01
宮　　　城,7249,3111,4138,829727198,401936888,427790310,2022-02-01
秋　　　田,2864,1208,1656,301775186,142029943,159745243,2022-02-01
山　　　形,2892,1268,1624,312568829,153622625,158946204,2022-02-01
福　　　島,5681,2624,3057,665574394,347695271,317879123,2022-02-01
茨　　　城,7426,3523,3903,898631399,482641439,415989960,2022-02-01
栃　　　木,5620,2764,2856,660508143,369000096,291508047,2022-02-01
群　　　馬,5086,2471,2615,598407072,327283209,271123863,2022-02-01
埼　　　玉,20540,10154,10386,2573689596,1404687985,1169001611,2022-02-01
千　　　葉,16888,8138,8750,2190484606,1163268213,1027216393,2022-02-01
東　　　京,38634,17681,20953,5158290308,2534251357,2624038951,2022-02-01
神　奈　川,24678,11914,12764,3181349706,1677424570,1503925136,2022-02-01
新　　　潟,6207,2752,3455,695943611,344454427,351489184,2022-02-01
富　　　山,2552,1142,1410,296839753,148995057,147844696,2022-02-01
石　　　川,3385,1399,1986,392236057,182148689,210087368,2022-02-01
福　　　井,2041,844,1197,224766938,103793946,120972992,2022-02-01
山　　　梨,2182,985,1197,253853663,126058368,127795295,2022-02-01
長　　　野,5952,2609,3343,658133841,323656958,334476883,2022-02-01
岐　　　阜,5404,2403,3001,618204383,311537570,306666813,2022-02-01
静　　　岡,10544,4782,5762,1212891642,615996289,596895353,2022-02-01
愛　　　知,20696,9279,11417,2522334824,1263255808,1259079016,2022-02-01
三　　　重,5492,2556,2936,635263722,338176013,297087709,2022-02-01
滋　　　賀,4514,1966,2548,517233569,255969419,261264150,2022-02-01
京　　　都,7692,3285,4407,922920963,443634097,479286866,2022-02-01
大　　　阪,28614,12594,16020,3487888586,1708878199,1779010387,2022-02-01
兵　　　庫,17398,7548,9850,2061724641,1013152417,1048572224,2022-02-01
奈　　　良,3598,1645,1953,431288270,226132290,205155980,2022-02-01
和　歌　山,2844,1278,1566,307737316,159833143,147904173,2022-02-01
鳥　　　取,1706,767,939,181516839,92136675,89380164,2022-02-01
島　　　根,1868,795,1073,199436220,93720043,105716177,2022-02-01
岡　　　山,5701,2569,3132,628487928,317337507,311150421,2022-02-01
広　　　島,8706,3702,5004,991286680,481006955,510279725,2022-02-01
山　　　口,3758,1533,2225,424086141,199967083,224119058,2022-02-01
徳　　　島,2068,986,1082,237862671,126050747,111811924,2022-02-01
香　　　川,2815,1225,1590,314544995,153863285,160681710,2022-02-01
愛　　　媛,4111,1709,2402,442607980,211545865,231062115,2022-02-01
高　　　知,2229,960,1269,248224944,119287055,128937889,2022-02-01
福　　　岡,18639,7656,10983,2144055514,993028315,1151027199,2022-02-01
佐　　　賀,2770,1126,1644,303355961,141726368,161629593,2022-02-01
長　　　崎,4618,1869,2749,488207978,231086201,257121777,2022-02-01
熊　　　本,5827,2543,3284,644601264,319439308,325161956,2022-02-01
大　　　分,4242,1723,2519,450656410,211666963,238989447,2022-02-01
宮　　　崎,3828,1570,2258,410091193,193992907,216098286,2022-02-01
鹿　児　島,5529,2133,3396,588615724,264062657,324553067,2022-02-01
沖　　　縄,4971,2184,2787,550760136,266086194,284673942,2022-02-01
