都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,377701,168936,208765,52288815842,26195107162,26093708680,2022-03-01
北　海　道,18156,7461,10695,2367422846,1105531976,1261890870,2022-03-01
青　　　森,4960,2207,2753,638448706,328473888,309974818,2022-03-01
岩　　　手,3560,1556,2004,452064450,222173136,229891314,2022-03-01
宮　　　城,7300,3095,4205,975723989,470859152,504864837,2022-03-01
秋　　　田,2957,1263,1694,355794689,170763217,185031472,2022-03-01
山　　　形,2885,1271,1614,379862826,186763213,193099613,2022-03-01
福　　　島,5843,2743,3100,803194671,415333818,387860853,2022-03-01
茨　　　城,7308,3514,3794,1063606209,574679901,488926308,2022-03-01
栃　　　木,5598,2763,2835,779813733,435659157,344154576,2022-03-01
群　　　馬,5127,2519,2608,723425641,394768016,328657625,2022-03-01
埼　　　玉,20828,10242,10586,3064659246,1663837229,1400822017,2022-03-01
千　　　葉,16800,8076,8724,2489056114,1329578890,1159477224,2022-03-01
東　　　京,38775,17703,21072,5940275811,2910926336,3029349475,2022-03-01
神　奈　川,24327,11660,12667,3646545558,1906854595,1739690963,2022-03-01
新　　　潟,6119,2739,3380,779412657,390580778,388831879,2022-03-01
富　　　山,2610,1175,1435,351406207,174227522,177178685,2022-03-01
石　　　川,3329,1381,1948,444391488,208172925,236218563,2022-03-01
福　　　井,2157,878,1279,283986142,126192322,157793820,2022-03-01
山　　　梨,2170,981,1189,300562483,154023958,146538525,2022-03-01
長　　　野,5998,2666,3332,783100673,387534163,395566510,2022-03-01
岐　　　阜,5347,2436,2911,733167639,380392014,352775625,2022-03-01
静　　　岡,10596,4797,5799,1443805539,726195782,717609757,2022-03-01
愛　　　知,20584,9261,11323,2958364346,1482726151,1475638195,2022-03-01
三　　　重,5637,2648,2989,742440330,401789184,340651146,2022-03-01
滋　　　賀,4618,2041,2577,630615794,317295346,313320448,2022-03-01
京　　　都,7648,3251,4397,1043290121,501694563,541595558,2022-03-01
大　　　阪,28515,12528,15987,3965456570,1949299719,2016156851,2022-03-01
兵　　　庫,17324,7524,9800,2398730492,1184553384,1214177108,2022-03-01
奈　　　良,3661,1687,1974,494097260,262346722,231750538,2022-03-01
和　歌　山,2807,1271,1536,358097864,187691491,170406373,2022-03-01
鳥　　　取,1776,777,999,222130032,108287669,113842363,2022-03-01
島　　　根,1904,827,1077,241487727,118488368,122999359,2022-03-01
岡　　　山,5898,2631,3267,760178996,383343626,376835370,2022-03-01
広　　　島,8838,3846,4992,1198893024,591689820,607203204,2022-03-01
山　　　口,3674,1521,2153,488288860,231570340,256718520,2022-03-01
徳　　　島,2113,1013,1100,278949668,148403654,130546014,2022-03-01
香　　　川,2905,1270,1635,376237386,188175725,188061661,2022-03-01
愛　　　媛,4051,1669,2382,523208652,245530274,277678378,2022-03-01
高　　　知,2310,1012,1298,295187110,143461514,151725596,2022-03-01
福　　　岡,18534,7624,10910,2472186107,1161018069,1311168038,2022-03-01
佐　　　賀,2761,1124,1637,340225554,161669733,178555821,2022-03-01
長　　　崎,4677,1928,2749,591270851,276092351,315178500,2022-03-01
熊　　　本,5896,2528,3368,773067999,380677160,392390839,2022-03-01
大　　　分,4343,1781,2562,526387547,244584404,281803143,2022-03-01
宮　　　崎,3858,1608,2250,485164717,230974870,254189847,2022-03-01
鹿　児　島,5657,2240,3417,687253012,313670324,373582688,2022-03-01
沖　　　縄,4962,2200,2762,637878506,316550713,321327793,2022-03-01
